Old_CD,New_SD,Old_CD_Republican,Old_CD_Democrat,Old_CD_Other,Old_CD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
4,7,66929,15003,36797,541518,7635,1205,91,6339,943.648992277265,211.5311125391954,261.35100772273495,-120.53111253919539,27.69578623636618,-56.98032364712389
4,9,66929,15003,36797,541518,4884,650,28,4206,603.6387266905255,135.3134189445226,46.36127330947454,-107.3134189445226,7.680301355688718,-79.3072998831847
4,11,66929,15003,36797,541518,4120,824,28,3268,509.21202988635645,114.1464549654859,314.78797011364355,-86.1464549654859,61.818643637287295,-75.47010986152284
4,15,66929,15003,36797,541518,139942,11190,5591,123161,17296.152885037984,3877.1561166941815,-6106.152885037984,1713.8438833058185,-35.30353209539506,44.203633584069095
4,18,66929,15003,36797,541518,11582,1638,127,9817,1431.47906071451,320.8845246141403,206.52093928548993,-193.88452461414028,14.427101656828068,-60.42189938803813
4,21,66929,15003,36797,541518,9419,1375,133,7911,1164.1427450241729,260.95763575726016,210.85725497582712,-127.95763575726016,18.112663234563108,-49.033873021552395
4,28,66929,15003,36797,541518,59004,5102,2636,51266,7292.608400828782,1634.7323856270705,-2190.6084008287817,1001.2676143729295,-30.03874992903535,61.2496346910538
4,32,66929,15003,36797,541518,97318,13823,2262,81233,12028.033088466125,2696.2390059056206,1794.9669115338747,-434.2390059056206,14.923195657443756,-16.10536027980083
5,3,41083,14444,35494,497387,65452,6908,1533,57011,5406.181737761542,1900.7104890155954,1501.8182622384584,-367.7104890155954,27.77964809707441,-19.34594937738455
5,4,41083,14444,35494,497387,42791,4079,1076,37636,3534.436269946742,1242.640446975896,544.563730053258,-166.6404469758961,15.407371599360134,-13.410190162523214
5,5,41083,14444,35494,497387,222759,14371,7821,200567,18399.37110740731,6468.868297723905,-4028.371107407311,1352.131702276095,-21.894069552113926,20.902136819694526
5,10,41083,14444,35494,497387,10482,1161,96,9225,865.788623345604,304.39478313667223,295.21137665439596,-208.39478313667223,34.097396141985804,-68.46200877335788
5,32,41083,14444,35494,497387,155832,14564,3918,137350,12871.357828009177,4525.324160060476,1692.642171990823,-607.3241600604761,13.150455411219234,-13.42056698215316
6,2,43237,12194,34888,473733,19545,2095,594,16856,1783.8469454312874,503.0929447600231,311.1530545687126,90.9070552399769,17.442811187676416,18.06963428663064
6,6,43237,12194,34888,473733,100173,6029,3390,90754,9142.660530298712,2578.4768255536346,-3113.660530298712,811.5231744463654,-34.05639441582746,31.472967544399786
6,7,43237,12194,34888,473733,18847,2755,384,15708,1720.1413855483997,485.12625888422383,1034.8586144516003,-101.12625888422383,60.161253205455324,-20.84534840822908
6,8,43237,12194,34888,473733,15912,1668,327,13917,1452.2677204247964,409.57866139787603,215.73227957520362,-82.57866139787603,14.854856066903471,-20.161856361373484
