Old_HD,New_SD,Old_HD_Republican,Old_HD_Democrat,Old_HD_Other,Old_HD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
12,27,22218,2533,12292,129691,25861,5997,645,19219,4430.3744901342425,505.0922037766691,1566.6255098657575,139.90779622333088,35.361017750404386,27.699456688741986
13,2,12890,1975,13807,123354,1034,10,11,1013,108.04886748706973,16.555198858569646,-98.04886748706973,-5.555198858569646,-90.74492844527342,-33.555615405332624
13,7,12890,1975,13807,123354,8797,336,166,8295,919.251341667072,140.84727694278254,-583.251341667072,25.152723057217457,-63.44851676901983,17.858153599544163
13,9,12890,1975,13807,123354,6489,313,242,5934,678.0745658835547,103.89427987742594,-365.07456588355467,138.10572012257404,-53.839884911160155,132.92908934496742
13,13,12890,1975,13807,123354,14473,2148,256,12069,1512.3706568088592,231.72475152812234,635.6293431911408,24.27524847187766,42.02867467240703,10.47589794003149
13,14,12890,1975,13807,123354,7762,828,76,6858,811.0979781766299,124.27606725359534,16.90202182337009,-48.27606725359534,2.0838446498616965,-38.84582793812113
13,18,12890,1975,13807,123354,12974,538,325,12111,1355.7311477536196,207.7245164323816,-817.7311477536196,117.27548356761841,-60.316615806058614,56.45721823393623
13,19,12890,1975,13807,123354,24287,2530,355,21402,2537.89443390567,388.8550432089758,-7.894433905670212,-33.855043208975815,-0.3110623436578937,-8.706340267466112
13,28,12890,1975,13807,123354,12682,1847,97,10738,1325.2183147688766,203.0493538920505,521.7816852311234,-106.0493538920505,39.37326245918389,-52.22836313403428
13,29,12890,1975,13807,123354,557,33,8,516,58.20427387843119,8.91803265398771,-25.204273878431188,-0.9180326539877104,-43.303132569052046,-10.294116310251576
13,36,12890,1975,13807,123354,33822,4269,439,29114,3534.2638260615786,541.5183131475266,734.7361739384214,-102.51831314752656,20.788945310774317,-18.931642874946938
13,38,12890,1975,13807,123354,471,37,0,434,49.2176175884041,7.541101220876502,-12.217617588404103,-7.541101220876502,-24.823667188804826,-100.0
14,3,9699,2103,7852,111194,50111,4100,928,45083,4370.978551000953,947.7438800654712,-270.9785510009533,-19.743880065471217,-6.199493954023161,-2.0832505997408592
14,4,9699,2103,7852,111194,57410,5381,1131,50898,5007.6406101048615,1085.7890713527709,373.3593898951385,45.21092864722914,7.455794434243959,4.163877666488337
14,32,9699,2103,7852,111194,3673,218,44,3411,320.38083889418493,69.46704858175801,-102.38083889418493,-25.467048581758007,-31.955980653387066,-36.66061694241265
15,3,17375,3307,9742,143814,67443,7554,1439,58450,8148.178376235972,1550.8504109474738,-594.1783762359719,-111.85041094747385,-7.292162110354424,-7.2121985562192386
15,4,17375,3307,9742,143814,68635,8590,1681,58364,8292.19078114787,1578.2604266622163,297.80921885212956,102.73957333778367,3.5914419568010043,6.509671762794079
15,32,17375,3307,9742,143814,7736,1231,187,6318,934.630842616157,177.8891623903097,296.369157383843,9.110837609690293,31.709755752791768,5.121637252808041
16,3,20711,1790,9899,139447,90275,12137,1105,77033,13407.857644839976,1158.8076473498893,-1270.8576448399763,-53.807647349889294,-9.47845419084582,-4.643363156339497
16,4,20711,1790,9899,139447,44006,8007,605,35394,6535.87575207785,564.8794165525253,1471.12424792215,40.1205834474747,22.50844880970172,7.10250405163136
16,32,20711,1790,9899,139447,5166,567,80,4519,767.2666030821746,66.31293609758546,-200.26660308217458,13.687063902414536,-26.10130589259154,20.640111429047252
17,2,17535,4724,11656,132014,937,75,42,820,124.45873164967351,33.52968624539821,-49.45873164967351,8.47031375460179,-39.73906128891782,25.262132465567884
17,7,17535,4724,11656,132014,2813,390,85,2338,373.64184859181603,100.66062690320723,16.35815140818397,-15.66062690320723,4.3780297816839004,-15.557847576556524
17,8,17535,4724,11656,132014,1544,160,65,1319,205.08461223809596,55.25062493371915,-45.08461223809596,9.749375066280848,-21.983420280091188,17.64572813063488
17,9,17535,4724,11656,132014,8285,912,438,6935,1100.4702152801974,296.4711318496523,-188.4702152801974,141.5288681503477,-17.126334966931374,47.73782434308661
17,10,17535,4724,11656,132014,1870,243,59,1568,248.3861560137561,66.91623615677125,-5.386156013756107,-7.916236156771248,-2.168460634117552,-11.83006787504471
17,17,17535,4724,11656,132014,19721,3600,360,15761,2619.477744784644,705.6979108276395,980.5222552153559,-345.6979108276395,37.43197502508149,-48.98667057441143
