district,old_expected_republican_voters,new_republican_voters,net_republican_change,pct_republican_change,old_expected_democrat_voters,new_democrat_voters,net_democrat_change,pct_democrat_change,old_expected_other_voters,new_other_voters,net_other_change,new_rep_known,new_rep_modeled,new_dem_known,new_dem_modeled,old_expected_republican_pct,new_republican_pct,old_expected_democrat_pct,new_democrat_pct
1,117501.14728856843,117228.0,-273.1472885684343,-0.2324635076946253,6791.595313204146,7072.0,280.4046867958541,4.128701341357815,257.2573982274198,250.0,-7.257398227419799,6035.0,111193.0,670.0,6402.0,94.34054378849332,94.1212364512244,5.4529067147363675,5.678040947410679
2,141398.99845264037,138792.0,-2606.9984526403714,-1.8437177640360367,5621.131897217477,8254.0,2632.8681027825232,46.83875331382675,249.86965014215184,224.0,-25.86965014215184,6537.0,132255.0,1329.0,6925.0,96.0134436427245,94.24322672642086,3.816888638023682,5.604671691451077
3,23815.560684921627,25519.0,1703.4393150783726,7.152631582412725,1879.130956515075,161.0,-1718.130956515075,-91.43220969023996,73.30835856329759,88.0,14.691641436702412,1649.0,23870.0,161.0,0.0,92.42300793589578,99.03368519093449,7.292498278931523,0.6248059608817138
4,110242.22784976472,117208.0,6965.77215023528,6.318606115007087,19211.4555090165,12263.0,-6948.455509016501,-36.16829295289671,293.3166412187784,276.0,-17.316641218778386,6137.0,111071.0,1125.0,11138.0,84.96707272597033,90.33580737897601,14.806859125079194,9.451470939597833
5,57891.78368003166,59291.0,1399.2163199683418,2.4169514757082307,2435.412358223907,1028.0,-1407.4123582239072,-57.789489055984845,129.80396174443467,138.0,8.196038255565327,3816.0,55475.0,235.0,793.0,95.75695730855263,98.071356501315,4.028338088598354,1.7003820897497395
6,78678.16343341465,78917.0,238.83656658534892,0.3035614408913807,6960.873421980122,6713.0,-247.87342198012175,-3.560952871193146,227.96314460522717,237.0,9.036855394772829,4955.0,73962.0,595.0,6118.0,91.62794022548202,91.90608732108959,8.106575776468402,7.817904433600802
7,22069.74331377404,19917.0,-2152.743313774041,-9.754274361815904,4465.373705676484,6640.0,2174.626294323516,48.69976037076319,80.88298054947518,59.0,-21.882980549475178,1864.0,18053.0,973.0,5667.0,82.91908368565541,74.83092876465284,16.777027749009935,24.947400060114216
8,30024.054105818468,29409.0,-615.0541058184681,-2.048537827872068,7182.240847595456,7834.0,651.7591524045438,9.074593378788547,121.7050465860757,85.0,-36.705046586075696,2046.0,27363.0,712.0,7122.0,80.4330639354331,78.78536219459923,19.240893826605916,20.98692670381483
9,106289.79743338155,104531.0,-1758.797433381551,-1.6547189625456753,2252.05810370853,4024.0,1771.9418962914701,78.6810026514663,203.14446290991918,190.0,-13.144462909919184,5368.0,99163.0,431.0,3593.0,97.74223866235832,96.12487930479561,2.070953242639689,3.70040001839165
10,6176.140687008495,5828.0,-348.14068700849475,-5.636864583425185,4959.2462415177315,5303.0,343.7537584822685,6.931572697569174,24.613071473773743,29.0,4.3869285262262565,302.0,5526.0,186.0,5117.0,55.34176242839153,52.22222222222223,44.43769033618039,47.517921146953405
11,59418.95938438341,60047.0,628.0406156165918,1.0569700683476704,853.5800126434153,269.0,-584.5800126434153,-68.48567257720276,176.4606029731765,133.0,-43.46060297317649,3808.0,56239.0,269.0,0.0,98.29601711257988,99.33497659183774,1.4120663909136881,0.4450032258598157
12,83801.32204275651,80245.0,-3556.32204275651,-4.243754103237213,5752.359662556488,9227.0,3474.640337443512,60.403739356925016,313.318294687002,395.0,81.68170531299802,5882.0,74363.0,1385.0,7842.0,93.25038339185298,89.29306642037677,6.400969947318245,10.26739515061146
13,62126.684958151534,79897.0,17770.315041848466,28.60335305805956,24331.44354608274,6584.0,-17747.44354608274,-72.94036423473939,361.87149576572483,339.0,-22.87149576572483,5065.0,74832.0,1067.0,5517.0,71.55803381496376,92.0260308684635,28.025159578533447,7.583506104584198
14,169089.93656262947,171634.0,2544.063437370525,1.5045622992638747,17991.283209635494,15559.0,-2432.283209635494,-13.519231403865897,509.7802277350311,398.0,-111.78022773503108,9301.0,162333.0,1039.0,14520.0,90.13755274113869,91.49372837716095,9.5906963605053,8.294107926286443
15,6527.440038231401,7360.0,832.5599617685994,12.754769969425567,872.9229077512532,41.0,-831.9229077512532,-95.30313620642393,23.637054017346145,23.0,-0.637054017346145,505.0,6855.0,41.0,0.0,87.92349189428073,99.13793103448276,11.758121063459768,0.5522629310344828
16,56116.703487183855,60288.0,4171.296512816145,7.433252941824713,4501.121630630193,343.0,-4158.121630630193,-92.37967715278165,194.1748821859519,181.0,-13.174882185951901,3831.0,56457.0,343.0,0.0,92.27899672298865,99.13832796158653,7.40169971490856,0.5640334144576729
17,36683.56411522381,40015.0,3331.4358847761905,9.081549094608375,3793.8538073193254,485.0,-3308.8538073193254,-87.2161652864876,163.58207745686514,141.0,-22.582077456865136,3365.0,36650.0,370.0,115.0,90.26245445541156,98.45968357077828,9.335040494375939,1.1933761472404714
18,61407.078828350175,61530.0,122.92117164982483,0.20017426979945357,382.0161537954179,218.0,-164.0161537954179,-42.93435033201604,93.90501785440694,135.0,41.094982145593065,3702.0,57828.0,218.0,0.0,99.23093390486915,99.4295687022284,0.6173200294029344,0.35227768530937414
19,130085.90215945205,130567.0,481.09784054795455,0.36983088294860084,10077.014835014656,9596.0,-481.01483501465555,-4.773386195118725,571.083005533299,571.0,-0.0830055332990014,8064.0,122503.0,1654.0,7942.0,92.4338838940498,92.77573294299884,7.160327166864195,6.818537098355764
20,6687.49196249414,6533.0,-154.49196249414035,-2.3101629633439087,4709.295146675636,4868.0,158.7048533243642,3.370034121484112,37.21289083022384,33.0,-4.2128908302238415,404.0,6129.0,208.0,4660.0,58.487772979658395,57.13661011019766,41.18676881822316,42.574776980934054
21,129205.8433445313,112445.0,-16760.8433445313,-12.97220227094374,114326.0976775867,130927.0,16600.902322413298,14.520658589458579,774.0589778819995,934.0,159.94102211800055,7978.0,104467.0,4101.0,126826.0,52.886889124512415,46.02629489247092,46.796270937916674,53.59139767340958
22,291367.7041065511,294592.0,3224.295893448929,1.106607166135965,248919.9424125235,245813.0,-3106.9424125234946,-1.2481693440915644,1485.3534809254343,1368.0,-117.35348092543427,18906.0,275686.0,7960.0,237853.0,53.78040325127888,54.37554104763434,45.94543146530438,45.371954674743854
23,71027.8464733605,64586.0,-6441.846473360507,-9.06946612238422,15641.466171419443,22032.0,6390.533828580557,40.856360641290344,305.68735522005045,357.0,51.31264477994955,3007.0,61579.0,1355.0,20677.0,81.66466970205289,74.25812014946824,17.983864525920602,25.331417073871805
24,130455.70967098979,130478.0,22.29032901021128,0.017086510867502576,13809.44930823316,13787.0,-22.449308233159172,-0.16256483319559276,356.8410207770521,357.0,0.15897922294789169,5792.0,124686.0,1507.0,12280.0,90.20460902973944,90.2200218500643,9.54865048763892,9.533127739901259
