district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
1,449545,18958,1133,469636,95.7220059790987,4.036743350169067,0.24125067073222667,26889,422656,2906,16052
2,245669,229138,1325,476132,51.59682609024389,48.124889736459636,0.2782841732964808,18285,227384,9684,219454
3,385289,18191,1509,404989,95.13567035154041,4.491726935793318,0.37260271266627,23092,362197,2877,15314
4,226594,333494,1762,561850,40.329981311738,59.35641185369761,0.31360683456438554,13543,213051,10780,322714
5,176303,28057,527,204887,86.04889524469586,13.693889802671716,0.25721495263242666,10149,166154,2332,25725
6,687482,901313,4170,1592965,43.15738261669277,56.58084138697335,0.26177599633388055,39751,647731,28522,872791
7,472910,402451,1880,877241,53.908789032888336,45.87690269834629,0.21430826876536777,23952,448958,12705,389746
8,296244,165646,1094,462984,63.9857964854077,35.77791025175816,0.2362932628341368,16484,279760,6359,159287
9,388345,143200,1475,533020,72.85749127612472,26.86578364789314,0.2767250759821395,17853,370492,6690,136510
10,146297,205649,941,352887,41.45718034384945,58.2761620575425,0.266657598608053,11219,135078,8142,197507
11,430661,185553,1778,617992,69.68714805369649,30.025145956581962,0.2877059897215498,21124,409537,9756,175797
12,346260,211556,2242,560058,61.82573947698275,37.77394484142714,0.40031568159012104,21977,324283,9887,201669
13,354781,881625,2994,1239400,28.62522188155559,71.13320961755689,0.24156850088752624,23318,331463,31703,849922
14,11806,131,36,11973,98.60519502213313,1.0941284556919737,0.3006765221748935,971,10835,25,106
15,555268,939883,4380,1499531,37.0294445396594,62.67846413311896,0.2920913272216446,36501,518767,33393,906490
16,44987,405078,1070,451135,9.97195961297616,89.79086082879849,0.23717955822536493,6726,38261,10370,394708
17,431324,298660,2081,732065,58.91881185413863,40.79692377043022,0.2842643754311434,26514,404810,12158,286502
18,215610,239233,1161,456004,47.2824799782458,52.46291699195621,0.2546030297979842,15697,199913,7268,231965
19,81372,380106,775,462253,17.603347084821515,82.22899580965401,0.16765710552446386,7158,74214,7209,372897
20,223020,391734,2229,616983,36.14686304160731,63.49186282280063,0.36127413559206656,12244,210776,13380,378354
21,80588,166464,920,247972,32.49883051312245,67.13015985675803,0.3710096301195296,4917,75671,9227,157237
22,475635,179830,1500,656965,72.39883403225437,27.372843302154603,0.22832266559101325,29946,445689,7472,172358
23,12209,553253,737,566199,2.156309000898977,97.71352475013202,0.13016624896900206,3606,8603,21972,531281
24,309366,84710,896,394972,78.32605855604953,21.447089920298147,0.22685152365230954,18736,290630,4109,80601
25,436484,91349,2213,530046,82.3483244850447,17.234164581941943,0.4175109330133611,24992,411492,8295,83054
26,62929,481791,1532,546252,11.52014088735602,88.19940247358362,0.28045663906036045,9628,53301,13699,468092
27,328709,216737,1415,546861,60.10832734460859,39.63292317426183,0.2587494811295741,20105,308604,8343,208394
28,215617,7342,544,223503,96.47163572748464,3.284967092164311,0.24339718035104674,12577,203040,1411,5931
29,209603,34581,790,244974,85.56132487529288,14.116191922408092,0.3224832022990195,11658,197945,2243,32338
30,424937,119223,1395,545555,77.89077178286333,21.85352530908891,0.25570290804776785,22305,402632,4975,114248
31,228194,6129,485,234808,97.18323055432523,2.6102177097884227,0.20655173588634118,12758,215436,741,5388
