district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
34,1417,1642,106426,109485,1.294241220258483,1.499748824039823,97.20600995570169,1417,0,1642,0
35,218,2252,84414,86884,0.25090925832144007,2.5919616960545095,97.15712904562405,218,0,2252,0
36,235,2064,94571,96870,0.24259316609889542,2.130690616289873,97.62671621761123,235,0,2064,0
37,929,2156,104930,108015,0.8600657316113502,1.996019071425265,97.14391519696338,929,0,2156,0
38,277,2658,101881,104816,0.26427263013280416,2.535872385895283,97.19985498397192,277,0,2658,0
39,335,2004,96346,98685,0.339463950955059,2.030703754369965,97.62983229467498,335,0,2004,0
40,290,3026,91282,94598,0.30656039239730226,3.1987991289456437,96.49464047865706,290,0,3026,0
41,823,2951,103716,107490,0.765652618848265,2.7453716624802307,96.4889757186715,823,0,2951,0
42,211,5268,100534,106013,0.1990321941648666,4.969201890334205,94.83176591550094,211,0,5268,0
43,3366,2488,118977,124831,2.696445594443688,1.9930946639857086,95.31045974157061,3366,0,2488,0
44,5549,1260,137379,144188,3.8484478597386746,0.8738591283601963,95.27769301190114,5549,0,1260,0
45,2307,3201,143242,148750,1.5509243697478992,2.1519327731092437,96.29714285714286,2307,0,3201,0
46,760,4672,140593,146025,0.5204588255435713,3.1994521486046907,96.28008902585174,760,0,4672,0
47,2855,5111,142160,150126,1.901735875198167,3.4044735755298885,94.69379054927195,2855,0,5111,0
48,2251,7879,146033,156163,1.441442595237028,5.045369261604861,93.5131881431581,2251,0,7879,0
49,843,7857,157976,166676,0.5057716767861,4.713936019582903,94.780292303631,843,0,7857,0
50,667,3574,113140,117381,0.5682350635963231,3.044785783048364,96.38697915335531,667,0,3574,0
51,302,3265,125418,128985,0.2341357522192503,2.5313020893902394,97.23456215839052,302,0,3265,0
52,3996,2057,159635,165688,2.411761865675245,1.2414900294529476,96.3467481048718,3996,0,2057,0
53,12466,1301,139933,153700,8.11060507482108,0.8464541314248536,91.04294079375407,12466,0,1301,0
54,2718,889,110887,114494,2.3739235243768233,0.7764599018289169,96.84961657379426,2718,0,889,0
55,3691,1096,121479,126266,2.923193892259199,0.8680088068046823,96.20879730093613,3691,0,1096,0
56,5669,936,121666,128271,4.419549235602747,0.7297050775311645,94.85074568686609,5669,0,936,0
57,3964,1305,129931,135200,2.9319526627218937,0.9652366863905325,96.10281065088758,3964,0,1305,0
58,5613,664,130470,136747,4.104660431307451,0.48556823915698333,95.40977132953556,5613,0,664,0
59,8314,537,122410,131261,6.333945345532946,0.4091085699484234,93.25694608451863,8314,0,537,0
60,9269,569,144316,154154,6.012818350480688,0.369111408072447,93.61807024144686,9269,0,569,0
61,3926,1424,141320,146670,2.676757346423945,0.9708870252948797,96.35235562828117,3926,0,1424,0
62,7175,641,129303,137119,5.23268110181667,0.4674771548800677,94.29984174330326,7175,0,641,0
63,3563,1518,126652,131733,2.7047133216430206,1.1523308510396029,96.14295582731738,3563,0,1518,0
64,6339,1433,140621,148393,4.2717648406596,0.9656789740755966,94.7625561852648,6339,0,1433,0
65,4378,1541,146022,151941,2.88138158890622,1.0142094628836191,96.10440894821016,4378,0,1541,0
66,4173,1699,140272,146144,2.855402890299978,1.162552003503394,95.98204510619662,4173,0,1699,0
67,4443,1692,139795,145930,3.0446104296580554,1.1594600150757213,95.79592955526623,4443,0,1692,0
68,10086,402,130070,140558,7.175685482149717,0.2860029311743195,92.53831158667596,10086,0,402,0
69,5953,512,114124,120589,4.936602841055154,0.42458267337816885,94.63881448556668,5953,0,512,0
70,3929,2268,108618,114815,3.4220267386665504,1.975351652658625,94.60262160867482,3929,0,2268,0
71,4912,371,114733,120016,4.092787628316224,0.309125449940008,95.59808692174376,4912,0,371,0
72,5904,404,105725,112033,5.26987584015424,0.3606080351325056,94.36951612471326,5904,0,404,0
73,8660,2420,170243,181323,4.776007456307252,1.3346348780904795,93.88935766560226,8660,0,2420,0
74,1501,5499,116608,123608,1.2143226975600285,4.44874118180053,94.33693612063944,1501,0,5499,0
75,305,1331,113024,114660,0.26600383743240885,1.1608233036804465,98.57317285888715,305,0,1331,0
76,2448,2205,119056,123709,1.9788374330081078,1.7824087172315677,96.23875384976033,2448,0,2205,0
77,385,3523,116186,120094,0.32058221060169534,2.9335353972721365,96.74588239212618,385,0,3523,0
78,1393,3435,130462,135290,1.029640032522729,2.5389903170966073,96.43136965038066,1393,0,3435,0
79,934,3866,119390,124190,0.7520734358644013,3.112972058941944,96.13495450519366,934,0,3866,0
80,1923,4676,110159,116758,1.6469963514277395,4.004864763014098,94.34813888555816,1923,0,4676,0
81,3298,331,94429,98058,3.363315588733199,0.337555324399845,96.29912908686696,3298,0,331,0
82,5400,272,103902,109574,4.9281763922098305,0.24823407012612483,94.82358953766405,5400,0,272,0
83,8008,518,118429,126955,6.307746839431294,0.40801858926391243,93.2842345713048,8008,0,518,0
84,3337,690,103821,107848,3.0941695719902085,0.6397893331355241,96.26604109487427,3337,0,690,0
85,8241,1253,136642,146136,5.6392675316143865,0.8574204850276456,93.50331198335797,8241,0,1253,0
86,7315,375,114525,122215,5.985353679990181,0.3068363130548623,93.70781000695496,7315,0,375,0
87,5759,368,93126,99253,5.802343505989743,0.3707696492801225,93.82688684473014,5759,0,368,0
