district,new_republican_voters,new_democrat_voters,net_advantage,net_advantage_pct,advantage_party
137,9837.0,9190.0,647.0,2.197167792984005,Competitive/Swing
15,1257.0,707.0,550.0,20.82544490723211,Competitive/Swing
115,6376.0,5866.0,510.0,2.707293767915915,Competitive/Swing
92,4820.0,4343.0,477.0,3.4703528555838483,Competitive/Swing
105,3484.0,3182.0,302.0,2.8074742028446593,Competitive/Swing
49,346.0,120.0,226.0,21.772639691714836,Competitive/Swing
51,231.0,23.0,208.0,27.01298701298701,Competitive/Swing
46,240.0,51.0,189.0,30.434782608695656,Competitive/Swing
75,400.0,239.0,161.0,15.768854064642507,Competitive/Swing
83,7.0,252.0,-245.0,-60.7940446650124,Competitive/Swing
107,2501.0,3006.0,-505.0,-5.162015741592558,Competitive/Swing
148,9711.0,10299.0,-588.0,-1.9097109451120493,Competitive/Swing
142,19892.0,20689.0,-797.0,-1.289915354362568,Competitive/Swing
117,4399.0,5212.0,-813.0,-5.154377734102581,Competitive/Swing
125,7096.0,7957.0,-861.0,-3.8922291035667467,Competitive/Swing
113,4378.0,5320.0,-942.0,-6.051651034305538,Competitive/Swing
90,2723.0,3732.0,-1009.0,-8.622457699538542,Democrat
84,10.0,1029.0,-1019.0,-69.27260367097213,Democrat
102,3631.0,4713.0,-1082.0,-7.506070065903573,Democrat
104,2057.0,3169.0,-1112.0,-11.589369463262116,Democrat
101,3630.0,5486.0,-1856.0,-12.701019640046535,Democrat
124,2980.0,4838.0,-1858.0,-14.613811546326883,Democrat
76,7648.0,9632.0,-1984.0,-8.66413380496965,Democrat
116,4227.0,6390.0,-2163.0,-12.899570610687022,Democrat
120,3660.0,5873.0,-2213.0,-14.337544541626174,Democrat
119,4446.0,6737.0,-2291.0,-13.101160862354892,Democrat
123,5786.0,8115.0,-2329.0,-10.381100958324046,Democrat
80,80.0,2453.0,-2373.0,-71.1544227886057,Democrat
103,2336.0,4858.0,-2522.0,-19.67085250760471,Democrat
38,6901.0,9429.0,-2528.0,-11.339882474319293,Democrat
143,14519.0,17996.0,-3477.0,-7.212346242402871,Democrat
114,3678.0,7225.0,-3547.0,-18.248700931213666,Democrat
131,9225.0,13202.0,-3977.0,-11.719118340405469,Democrat
110,571.0,4832.0,-4261.0,-44.059559507806846,Democrat
95,2490.0,6895.0,-4405.0,-27.957603452652958,Democrat
100,897.0,5548.0,-4651.0,-41.97274614204494,Democrat
145,21619.0,27121.0,-5502.0,-7.34344135390529,Democrat
146,13951.0,20908.0,-6957.0,-12.994023160254015,Democrat
134,21701.0,28858.0,-7157.0,-9.125451044894108,Democrat
31,8100.0,15537.0,-7437.0,-21.23825570437216,Democrat
27,5568.0,13028.0,-7460.0,-28.430961545790616,Democrat
147,19106.0,26735.0,-7629.0,-11.002466144593951,Democrat
139,8948.0,17029.0,-8081.0,-20.56443403908795,Democrat
111,2730.0,11599.0,-8869.0,-39.01548477916593,Democrat
109,2536.0,11516.0,-8980.0,-41.36914359423228,Democrat
