district,republican_voters,democrat_voters,total_voters,republican_pct,democrat_pct,net_advantage,net_advantage_pct,advantage_party,period
131,1309,6821,12375,10.577777777777778,55.11919191919192,-5512,-44.541414141414144,Democrat,2022
132,9822,4525,21062,46.633747982147945,21.484189535656633,5297,25.14955844649131,Republican,2022
133,13231,5127,27354,48.36952548073408,18.743145426628647,8104,29.626380054105432,Republican,2022
134,8553,11691,32944,25.962238950947064,35.48749392909179,-3138,-9.52525497814473,Democrat,2022
135,3940,3906,11860,33.22091062394604,32.934232715008434,34,0.2866779089376054,Competitive/Swing,2022
136,6644,6072,19818,33.52507821172671,30.638813200121103,572,2.886265011605611,Competitive/Swing,2022
137,2139,2662,7811,27.384457815900653,34.080143387530406,-523,-6.695685571629753,Competitive/Swing,2022
138,10676,4608,23028,46.36095188466215,20.01042209484106,6068,26.35052978982109,Republican,2022
139,2915,8693,17598,16.564382316172292,49.39765882486646,-5778,-32.83327650869417,Democrat,2022
140,1063,2039,5501,19.323759316487912,37.06598800218142,-976,-17.742228685693508,Competitive/Swing,2022
141,1033,5205,9464,10.915046491969568,54.99788672865596,-4172,-44.08284023668639,Democrat,2022
142,2036,6415,13071,15.576466987988676,49.07811185066177,-4379,-33.50164486267309,Democrat,2022
143,2150,3682,9034,23.798981624972328,40.75713969448749,-1532,-16.958158069515164,Democrat,2022
144,2810,2392,8846,31.76576983947547,27.040470269048157,418,4.725299570427312,Competitive/Swing,2022
145,2898,7129,16613,17.444170228134592,42.91217721061819,-4231,-25.468006982483598,Democrat,2022
146,2219,9016,18037,12.302489327493486,49.98613960192937,-6797,-37.683650274435884,Democrat,2022
147,2124,9328,17920,11.852678571428571,52.05357142857143,-7204,-40.200892857142854,Democrat,2022
148,3963,3825,12280,32.27198697068404,31.148208469055376,138,1.1237785016286646,Competitive/Swing,2022
149,3007,3882,10364,29.013894249324583,37.45658047086067,-875,-8.442686221536086,Competitive/Swing,2022
150,9545,3724,20593,46.35070169475065,18.083814888554365,5821,28.26688680619628,Republican,2022
1,17053,2141,29781,57.26134112353514,7.189147443000571,14912,50.07219368053457,Republican,2026
2,15054,1445,30164,49.90717411483888,4.790478716350616,13609,45.11669539848827,Republican,2026
3,2856,954,6175,46.25101214574899,15.449392712550608,1902,30.80161943319838,Republican,2026
4,22552,2308,38380,58.7597707139135,6.013548723293382,20244,52.746221990620114,Republican,2026
5,16039,2009,28636,56.009917586255064,7.0156446431065795,14030,48.99427294314849,Republican,2026
6,32128,6332,57552,55.824298026132894,11.002224075618573,25796,44.822073950514316,Republican,2026
7,3757,1881,10461,35.914348532645064,17.981072555205046,1876,17.933275977440015,Republican,2026
8,7279,756,13834,52.61674136186208,5.4647968772589275,6523,47.151944484603156,Republican,2026
9,20170,2353,35929,56.13849536586045,6.5490272481839185,17817,49.589468117676525,Republican,2026
11,8061,4417,20988,38.40766152086907,21.045359252906422,3644,17.362302267962644,Republican,2026
12,17907,4141,30971,57.81860450098479,13.370572471021278,13766,44.448032029963514,Republican,2026
13,14141,1530,24844,56.919175656094026,6.158428594429238,12611,50.76074706166479,Republican,2026
14,31375,8376,58233,53.87838510810021,14.383596929576017,22999,39.4947881785242,Republican,2026
15,1257,707,2641,47.59560772434684,26.77016281711473,550,20.82544490723211,Competitive/Swing,2026
16,5242,1593,10106,51.870176132990295,15.762913120918268,3649,36.10726301207204,Republican,2026
17,9142,2995,18447,49.558193744240256,16.23570228221391,6147,33.32249146202634,Republican,2026
18,12611,1108,19529,64.57575912745148,5.673613600286753,11503,58.90214552716473,Republican,2026
19,16427,1357,26787,61.32452308955837,5.065890170605145,15070,56.258632918953225,Republican,2026
21,6464,2165,14280,45.26610644257703,15.161064425770308,4299,30.10504201680672,Republican,2026
22,13748,2592,23306,58.98910151892217,11.121599588088904,11156,47.867501930833264,Republican,2026
23,11324,3917,22262,50.8669481627886,17.59500494115533,7407,33.27194322163328,Republican,2026
24,18206,4179,31213,58.32826066062218,13.388652164162368,14027,44.93960849645981,Republican,2026
25,4943,305,7540,65.55702917771883,4.045092838196287,4638,61.51193633952254,Republican,2026
26,13724,5257,24701,55.56050362333509,21.28253916845472,8467,34.27796445488037,Republican,2026
27,5568,13028,26239,21.220320896375625,49.65128244216624,-7460,-28.430961545790616,Democrat,2026
28,14466,6807,29086,49.735267826445714,23.4030117582342,7659,26.332256068211514,Republican,2026
29,3868,252,6170,62.6904376012966,4.084278768233387,3616,58.606158833063205,Republican,2026
30,14541,1294,24854,58.505673131085544,5.206405407580269,13247,53.299267723505274,Republican,2026
31,8100,15537,35017,23.131621783705057,44.36987748807722,-7437,-21.23825570437216,Democrat,2026
32,7098,770,11681,60.765345432754046,6.591901378306651,6328,54.173444054447394,Republican,2026
33,35490,15005,68541,51.77922703199545,21.89200624443764,20485,29.887220787557812,Republican,2026
34,15657,1363,26883,58.24126771565673,5.070118662351672,14294,53.171149053305065,Republican,2026
35,11159,5939,24464,45.61396337475474,24.27648790058862,5220,21.33747547416612,Republican,2026
36,10696,3552,20194,52.966227592354166,17.589382985045063,7144,35.376844607309096,Republican,2026
37,15897,8571,35340,44.983022071307296,24.25297113752122,7326,20.730050933786078,Republican,2026
38,6901,9429,22293,30.95590544116987,42.29578791548917,-2528,-11.339882474319293,Democrat,2026
39,15695,4646,28889,54.32863719754925,16.08224583751601,11049,38.246391360033236,Republican,2026
40,9126,2426,16533,55.19869352204682,14.673682937155991,6700,40.52501058489082,Republican,2026
41,16074,4687,29099,55.23901164988487,16.10708271761916,11387,39.131928932265716,Republican,2026
43,5945,474,9742,61.02443030178608,4.865530691849722,5471,56.15889960993636,Republican,2026
46,240,51,621,38.64734299516908,8.212560386473431,189,30.434782608695656,Competitive/Swing,2026
49,346,120,1038,33.33333333333333,11.560693641618498,226,21.772639691714836,Competitive/Swing,2026
51,231,23,770,30.0,2.987012987012987,208,27.01298701298701,Competitive/Swing,2026
53,16101,1432,25630,62.820912992586806,5.587202497073742,14669,57.233710495513066,Republican,2026
54,7519,2730,17029,44.15409008162546,16.031475717893006,4789,28.122614363732456,Republican,2026
55,11671,3503,22179,52.6218494972722,15.794219757428198,8168,36.827629739844,Republican,2026
56,5552,713,9895,56.10914603335018,7.205659423951491,4839,48.90348660939869,Republican,2026
57,12825,3857,23886,53.69253956292389,16.147534120405258,8968,37.54500544251863,Republican,2026
58,9304,1025,19063,48.80658867964119,5.376908146671563,8279,43.42968053296963,Republican,2026
59,4128,742,7748,53.278265358802265,9.576664945792462,3386,43.701600413009814,Republican,2026
60,24551,1628,38484,63.79534351938469,4.230329487579254,22923,59.56501403180543,Republican,2026
61,21641,5947,38470,56.25422407070445,15.458799064205875,15694,40.79542500649857,Republican,2026
62,8153,669,13667,59.654642569693415,4.895002560913149,7484,54.75964000878027,Republican,2026
63,12419,4726,23937,51.88202364540252,19.74349333667544,7693,32.13853030872708,Republican,2026
64,12176,3740,22582,53.91905057125144,16.56186343105128,8436,37.35718714020016,Republican,2026
65,15938,4795,28627,55.67471268382995,16.749921402871415,11143,38.92479128095854,Republican,2026
66,25190,6273,44196,56.99610824509005,14.193592180287808,18917,42.80251606480224,Republican,2026
67,31071,7091,54690,56.81294569391113,12.965807277381606,23980,43.84713841652953,Republican,2026
68,9197,1771,20646,44.54615906228809,8.577932771481159,7426,35.96822629080694,Republican,2026
69,1189,38,1845,64.44444444444444,2.059620596205962,1151,62.38482384823848,Republican,2026
70,26906,8281,51586,52.15756212925987,16.052805024619083,18625,36.1047571046408,Republican,2026
71,11867,959,19738,60.12260614043976,4.858648292633498,10908,55.26395784780627,Republican,2026
72,2177,173,3463,62.86456829338724,4.995668495524113,2004,57.86889979786313,Republican,2026
73,22619,3831,41114,55.01532324755558,9.317993870700978,18788,45.6973293768546,Republican,2026
74,3573,1291,7790,45.866495507060336,16.57252888318357,2282,29.293966623876766,Republican,2026
75,400,239,1021,39.17727717923604,23.408423114593536,161,15.768854064642507,Competitive/Swing,2026
76,7648,9632,22899,33.398838377221715,42.06297218219136,-1984,-8.66413380496965,Democrat,2026
77,6199,3056,14061,44.08648033568025,21.733873835431336,3143,22.352606500248914,Republican,2026
78,15170,4993,29806,50.8957927933973,16.751660739448432,10177,34.144132053948866,Republican,2026
79,7950,4671,19802,40.147459852540145,23.58852641147359,3279,16.558933441066557,Republican,2026
80,80,2453,3335,2.39880059970015,73.55322338830584,-2373,-71.1544227886057,Democrat,2026
81,12090,1337,21734,55.62712800220852,6.151651789822398,10753,49.47547621238612,Republican,2026
82,15862,1204,25917,61.20307134313385,4.645599413512366,14658,56.557471929621485,Republican,2026
83,7,252,403,1.7369727047146404,62.531017369727046,-245,-60.7940446650124,Competitive/Swing,2026
84,10,1029,1471,0.6798096532970768,69.9524133242692,-1019,-69.27260367097213,Democrat,2026
85,16628,3858,32304,51.47350173353145,11.942793462109956,12770,39.530708271421496,Republican,2026
86,13714,1069,23045,59.50965502278152,4.6387502712085045,12645,54.870904751573015,Republican,2026
87,6473,896,12050,53.71784232365145,7.435684647302905,5577,46.28215767634855,Republican,2026
88,3397,212,5633,60.30534351145038,3.7635363039233094,3185,56.54180720752707,Republican,2026
89,24688,6183,44246,55.797134204221855,13.97414455544004,18505,41.822989648781814,Republican,2026
90,2723,3732,11702,23.26952657665356,31.891984276192105,-1009,-8.622457699538542,Democrat,2026
91,11430,2978,21281,53.709882054414734,13.993703303416194,8452,39.716178750998544,Republican,2026
92,4820,4343,13745,35.06729719898144,31.5969443433976,477,3.4703528555838483,Competitive/Swing,2026
93,9495,3445,20017,47.43468052155668,17.21037118449318,6050,30.2243093370635,Republican,2026
94,11909,4885,26451,45.02287248119164,18.468110846470832,7024,26.5547616347208,Republican,2026
95,2490,6895,15756,15.803503427265802,43.76110687991875,-4405,-27.957603452652958,Democrat,2026
96,10477,5344,24893,42.088137227332986,21.46788253725947,5133,20.620254690073516,Republican,2026
97,13088,5228,28692,45.61550257911613,18.22110692876063,7860,27.394395650355502,Republican,2026
98,18881,4384,32728,57.69066242972378,13.395257883158152,14497,44.29540454656563,Republican,2026
99,10561,3327,22058,47.87832079064285,15.082963097288966,7234,32.795357693353886,Republican,2026
100,897,5548,11081,8.094937280028878,50.06768342207381,-4651,-41.97274614204494,Democrat,2026
101,3630,5486,14613,24.84089509340998,37.54191473345651,-1856,-12.701019640046535,Democrat,2026
102,3631,4713,14415,25.189039195282692,32.69510926118627,-1082,-7.506070065903573,Democrat,2026
103,2336,4858,12821,18.220107635909834,37.89096014351455,-2522,-19.67085250760471,Democrat,2026
104,2057,3169,9595,21.4382490880667,33.02761855132882,-1112,-11.589369463262116,Democrat,2026
105,3484,3182,10757,32.38821232685693,29.58073812401227,302,2.8074742028446593,Competitive/Swing,2026
106,13595,4413,24963,54.46060169050194,17.67816368224973,9182,36.782438008252214,Republican,2026
107,2501,3006,9783,25.564755187570277,30.726770929162832,-505,-5.162015741592558,Competitive/Swing,2026
108,14343,9029,36590,39.199234763596614,24.676141022137195,5314,14.523093741459414,Republican,2026
109,2536,11516,21707,11.682867277836642,53.05201087206892,-8980,-41.36914359423228,Democrat,2026
110,571,4832,9671,5.904249819046634,49.96380932685348,-4261,-44.059559507806846,Democrat,2026
111,2730,11599,22732,12.009502023579095,51.02498680274503,-8869,-39.01548477916593,Democrat,2026
112,9451,6672,27002,35.00111102881268,24.70928079401526,2779,10.291830234797422,Republican,2026
113,4378,5320,15566,28.12540151612489,34.177052550430425,-942,-6.051651034305538,Competitive/Swing,2026
114,3678,7225,19437,18.92267325204507,37.171374183258735,-3547,-18.248700931213666,Democrat,2026
