district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct,republican_known,republican_modeled,democrat_known,democrat_modeled
96,59951,47573,333,107857,55.58378223017514,44.10747563904059,0.3087421307842792,3681,56270,2177,45396
97,78042,33753,453,112248,69.52640581569382,30.07002351935001,0.4035706649561685,4749,73293,2210,31543
98,112051,13229,597,125877,89.01626190646425,10.509465589424597,0.47427250411115607,6745,105306,1643,11586
99,81623,21410,317,103350,78.97726173197871,20.716013546202223,0.30672472181906146,3791,77832,1289,20121
100,413,89473,76,89962,0.4590827238167226,99.45643716235743,0.08448011382583757,251,162,2808,86665
101,3860,103007,127,106994,3.6076789352673977,96.27362281997122,0.11869824476138849,1033,2827,2269,100738
102,6637,79373,209,86219,7.697839223373039,92.05975481042462,0.24240596620234517,1514,5123,2181,77192
103,3421,88438,162,92021,3.7176296714880297,96.10632355657948,0.17604677193249368,681,2740,2242,86196
104,8120,77691,94,85905,9.452301961469065,90.43827483848436,0.10942320004656307,667,7453,1453,76238
105,16333,58605,122,75060,21.759925393018918,78.0775379696243,0.16253663735678123,1326,15007,1051,57554
106,95064,34894,323,130281,72.9684297787091,26.783644583630767,0.24792563766013465,3968,91096,1304,33590
107,10154,66672,81,76907,13.20295941851847,86.69171856918095,0.10532201230057081,1077,9077,1291,65381
108,40041,89140,909,130090,30.779460373587515,68.52179260511953,0.698747021292951,5170,34871,4749,84391
109,2700,111287,139,114126,2.3658062141843224,97.51239857701137,0.12179520880430401,834,1866,5653,105634
110,1072,85812,28,86912,1.2334315169366716,98.73435198821797,0.03221649484536082,183,889,2311,83501
111,2254,108392,152,110798,2.0343327496886223,97.82848065849564,0.13718659181573675,957,1297,6395,101997
112,31098,77565,448,109111,28.50125101960389,71.08815793091439,0.4105910494817204,3936,27162,3296,74269
113,9815,86711,170,96696,10.150368164143295,89.67382311574418,0.17580872011251758,1785,8030,2312,84399
114,1734,116777,310,118821,1.4593379958088217,98.27976536134186,0.260896642849328,1199,535,3753,113024
115,15868,86153,329,102350,15.503663898387885,84.17489008304835,0.3214460185637519,2179,13689,2069,84084
116,9602,103352,287,113241,8.479261045027862,91.26729718034987,0.2534417746222658,1588,8014,2893,100459
117,5670,121335,130,127135,4.459826169032918,95.4379203209187,0.10225351004837378,1007,4663,1611,119724
118,31092,90404,235,121731,25.541562954383025,74.26538843844213,0.19304860717483632,2066,29026,1936,88468
119,16684,113513,241,130438,12.79075116147135,87.02448672932735,0.18476210920130637,1929,14755,2863,110650
120,9413,103902,185,113500,8.29339207048458,91.54361233480176,0.16299559471365638,1290,8123,2230,101672
121,71783,49812,904,122499,58.5988457048629,40.663189087257855,0.737965207879248,5522,66261,3303,46509
122,94254,52095,753,147102,64.07390790064036,35.41420239017825,0.5118897091813843,5913,88341,2818,49277
123,15684,103077,489,119250,13.152201257861634,86.43773584905661,0.41006289308176097,2489,13195,3760,99317
124,3128,101644,131,104903,2.981802236351677,96.89332049607732,0.12487726757099415,897,2231,1753,99891
125,12051,111998,352,124401,9.68722116381701,90.02982291139139,0.28295592479160137,2579,9472,3097,108901
126,91936,50867,263,143066,64.26125005242336,35.554918708847666,0.18383123872897825,4561,87375,2198,48669
127,87685,70533,423,158641,55.272596617520065,44.46076361092025,0.2666397715596851,5527,82158,2794,67739
128,121731,62068,387,184186,66.0913424473087,33.698543863268654,0.21011368942264885,5393,116338,2457,59611
