district,Democrat,Republican,Swing,Unknown,total_voters,republican_voters,democrat_voters,net_advantage_2026,net_advantage_pct_2026,rep_pct_2026,dem_pct_2026,advantage_2026
41,238206.0,170001.0,6722.0,0.0,414929.0,170001.0,238206.0,-68205.0,-16.437752000944737,40.97110590004555,57.408857900990284,Democrat
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
43,8001.0,24979.0,781.0,0.0,33761.0,24979.0,8001.0,16978.0,50.28879476318829,73.9877373300554,23.698942566867096,Republican
44,6474.0,112777.0,13554.0,0.0,132805.0,112777.0,6474.0,106303.0,80.04442603817627,84.91924249839991,4.874816460223636,Republican
45,125676.0,9546.0,13528.0,0.0,148750.0,9546.0,125676.0,-116130.0,-78.07058823529411,6.417478991596639,84.48806722689076,Democrat
46,239.0,28804.0,168.0,0.0,29211.0,28804.0,239.0,28565.0,97.78850433056041,98.60668926089487,0.818184930334463,Republican
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
49,336.0,54537.0,159.0,0.0,55032.0,54537.0,336.0,54201.0,98.48996947230702,99.10052333187963,0.6105538595726123,Republican
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
51,66.0,10625.0,23.0,0.0,10714.0,10625.0,66.0,10559.0,98.55329475452679,99.16931118163151,0.6160164271047228,Republican
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
53,48.0,11996.0,27.0,0.0,12071.0,11996.0,48.0,11948.0,98.98102891226908,99.37867616601773,0.3976472537486538,Republican
54,259.0,26114.0,22.0,0.0,26395.0,26114.0,259.0,25855.0,97.95415798446675,98.9354044326577,0.9812464481909453,Republican
55,96.0,13851.0,31.0,0.0,13978.0,13851.0,96.0,13755.0,98.40463585634569,99.09142938903992,0.6867935326942338,Republican
56,24.0,3371.0,18.0,0.0,3413.0,3371.0,24.0,3347.0,98.06621740404337,98.76941107530031,0.7031936712569586,Republican
57,30881.0,85834.0,18485.0,0.0,135200.0,85834.0,30881.0,54953.0,40.6457100591716,63.48668639053254,22.840976331360945,Republican
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Competitive
60,49.0,4791.0,58.0,0.0,4898.0,4791.0,49.0,4742.0,96.81502654144549,97.81543487137607,1.000408329930584,Republican
61,44428.0,98857.0,25154.0,0.0,168439.0,98857.0,44428.0,54429.0,32.313775313318175,58.69008958732835,26.376314274010177,Republican
62,357.0,35877.0,275.0,0.0,36509.0,35877.0,357.0,35520.0,97.29107891204909,98.26891999233067,0.9778410802815743,Republican
63,37195.0,79122.0,15416.0,0.0,131733.0,79122.0,37195.0,41927.0,31.82725664791662,60.06239894331716,28.235142295400546,Republican
64,38070.0,79613.0,7990.0,0.0,125673.0,79613.0,38070.0,41543.0,33.056424212042366,63.34932722223549,30.292903010193122,Republican
65,30811.0,97652.0,23478.0,0.0,151941.0,97652.0,30811.0,66841.0,43.99141772135236,64.2696836271974,20.278265905845032,Republican
66,40089.0,108465.0,27103.0,0.0,175657.0,108465.0,40089.0,68376.0,38.92586119539785,61.74817969110254,22.822318495704696,Republican
