district,old_expected_republican_voters_known,new_republican_voters_known,net_republican_change_known,pct_republican_change_known,old_expected_democrat_voters_known,new_democrat_voters_known,net_democrat_change_known,pct_democrat_change_known,old_expected_other_voters_known,new_other_voters_known,net_other_change_known,new_rep_known_known,new_rep_modeled_known,new_dem_known_known,new_dem_modeled_known,old_expected_republican_pct_known,new_republican_pct_known,old_expected_democrat_pct_known,new_democrat_pct_known,old_expected_republican_voters_modeled,new_republican_voters_modeled,net_republican_change_modeled,pct_republican_change_modeled,old_expected_democrat_voters_modeled,new_democrat_voters_modeled,net_democrat_change_modeled,pct_democrat_change_modeled,old_expected_other_voters_modeled,new_other_voters_modeled,net_other_change_modeled,new_rep_known_modeled,new_rep_modeled_modeled,new_dem_known_modeled,new_dem_modeled_modeled,old_expected_republican_pct_modeled,new_republican_pct_modeled,old_expected_democrat_pct_modeled,new_democrat_pct_modeled,rep_voters_diff,dem_voters_diff,net_advantage_diff
12,14225.482820269393,11743.0,-2482.4828202693934,-17.450956509765632,4971.902518164813,5725.0,753.097481835187,15.147068533297873,414791.61466156575,416521.0,1729.385338434251,11743.0,0.0,5725.0,0.0,3.277844097493115,2.7058289495816714,1.14562869523532,1.3191578588397401,266395.9815905457,240783.0,-25612.981590545678,-9.614627607226144,96160.34221303482,121698.0,25537.65778696518,26.557369908676836,999.676196419503,1075.0,75.32380358049704,11743.0,229040.0,5725.0,115973.0,73.27508873200983,66.22996182156257,26.449939545224073,33.47434783087062,229040.0,115973.0,113067.0
13,20367.478934986415,18913.0,-1454.478934986415,-7.141182959506938,2257.2136801273373,2493.0,235.78631987266272,10.445901597555496,365726.30738488626,366945.0,1218.692615113745,18913.0,0.0,2493.0,0.0,5.24460576514195,4.870078871948315,0.581230299426894,0.6419450445602046,331910.4702296522,326665.0,-5245.470229652186,-1.5803870923453522,39574.99034865612,44846.0,5271.009651343877,13.319042165029533,833.5394216916902,808.0,-25.539421691690222,18913.0,307752.0,2493.0,42353.0,89.14679890890666,87.73793440571123,10.62932333527328,12.045047392155652,307752.0,42353.0,265399.0
14,18563.002927351157,20856.0,2292.9970726488427,12.352511507016398,8198.58803075337,7668.0,-530.5880307533698,-6.471700111813204,491314.4090418955,489552.0,-1762.409041895473,20856.0,0.0,7668.0,0.0,3.583065597972335,4.025664188265814,1.5825068196081986,1.480091723994163,341095.2331296853,377912.0,36816.76687031472,10.793691407677015,153626.58828772383,116844.0,-36782.58828772383,-23.942853055380322,1504.1785825908883,1470.0,-34.178582590888254,20856.0,357056.0,7668.0,109176.0,68.73788014527358,76.1572348083333,30.95899616056471,23.546529202419865,357056.0,109176.0,247880.0
15,5200.168917578296,8982.0,3781.831082421704,72.72515840087156,2174.3030841410928,1348.0,-826.3030841410928,-38.00312339930771,152480.52799828062,149525.0,-2955.527998280624,8982.0,0.0,1348.0,0.0,3.2530536533597925,5.618842075631041,1.36017208353889,0.843264208188671,95614.29898230359,148744.0,53129.70101769641,55.56668990223912,61369.90745851191,8304.0,-53065.90745851191,-86.46893837079064,459.79355918450165,396.0,-63.793559184501646,8982.0,139762.0,1348.0,6956.0,60.729083980528685,94.47422575645945,38.97887976582906,5.274256243489749,139762.0,6956.0,132806.0
16,36720.73643898789,38541.0,1820.263561012107,4.9570453578361775,19345.093931187443,19373.0,27.90606881255735,0.14425398455971425,1336325.1696298248,1334477.0,-1848.1696298248135,38541.0,0.0,19373.0,0.0,2.6372431622287054,2.7679725019768155,1.389343505609232,1.391347688975295,676357.793857533,730704.0,54346.20614246698,8.035126768113267,662872.5945573207,608579.0,-54293.5945573207,-8.19065307618865,2857.611585146282,2805.0,-52.61158514628187,38541.0,692163.0,19373.0,589206.0,50.39593483121323,54.44531208087696,49.39114235112159,45.345685230774734,692163.0,589206.0,102957.0
17,19396.2725501142,21074.0,1677.7274498857987,8.649741570454065,4281.889272318139,3672.0,-609.8892723181389,-14.24346202179945,427777.83817756764,426710.0,-1067.838177567639,21074.0,0.0,3672.0,0.0,4.29638160753522,4.668007513467536,0.9484621474336676,0.8133683016728097,326435.02083092113,338462.0,12026.97916907887,3.6843409565753396,107124.07070725884,95011.0,-12113.070707258841,-11.307515320586157,1149.9084618200286,1236.0,86.0915381799714,21074.0,317388.0,3672.0,91339.0,75.0927679967337,77.85944160346347,24.642708273180183,21.85623025978298,317388.0,91339.0,226049.0
18,23629.078658656785,22834.0,-795.0786586567847,-3.3648314017757883,19185.696401653033,19512.0,326.3035983469672,1.700764942360148,995767.2249396902,996236.0,468.77506030979566,22834.0,0.0,19512.0,0.0,2.275128844776511,2.1985745949766122,1.8472972188669776,1.878715402346661,396256.6121880637,371400.0,-24856.61218806368,-6.272857391781948,566982.3455417313,591790.0,24807.654458268662,4.375383934497261,2200.0422702049837,2249.0,48.95772979501635,22834.0,348566.0,19512.0,572278.0,41.0441894504017,38.469545978565186,58.72793056233811,61.29750300122535,348566.0,572278.0,-223712.0
19,8847.012565565034,10412.0,1564.9874344349664,17.689445141361286,1005.1023685974707,594.0,-411.1023685974707,-40.90154211566796,177189.8850658375,176036.0,-1153.8850658375013,10412.0,0.0,594.0,0.0,4.729960418283078,5.566664171683365,0.5373672055460649,0.31757573165385317,169883.99734718422,185971.0,16087.002652815776,9.469404360635274,16641.905658738742,598.0,-16043.905658738742,-96.40666151904311,424.09699407703374,381.0,-43.09699407703374,10412.0,175559.0,594.0,4.0,90.87135455853662,99.47633056967103,8.90179494984688,0.31987162342872427,175559.0,4.0,175555.0
20,4312.0,4312.0,0.0,0.0,8691.0,8691.0,0.0,0.0,443608.0,443608.0,0.0,4312.0,0.0,8691.0,0.0,0.9443486906798128,0.9443486906798128,1.9033707028520994,1.9033707028520994,10417.0,10417.0,0.0,0.0,417140.0,417140.0,0.0,0.0,731.0,731.0,0.0,4312.0,6105.0,8691.0,408449.0,2.4322418559474,2.4322418559474,97.397078601315,97.397078601315,6105.0,408449.0,-402344.0
21,25411.763346169577,21568.0,-3843.763346169577,-15.125921384550292,10182.964660792739,10979.0,796.0353392072611,7.817323988879385,489908.2719930377,492956.0,3047.7280069622793,21568.0,0.0,10979.0,0.0,4.835702811624211,4.104258205947445,1.9377557617735273,2.089236407784542,310506.70606769936,282231.0,-28275.706067699357,-9.106310915402402,140366.5517840092,168535.0,28168.448215990793,20.067778155108737,2346.742148291436,2454.0,107.25785170856398,21568.0,260663.0,10979.0,157556.0,68.5112541520011,62.27240633687834,30.970952690527604,37.18613476898636,260663.0,157556.0,103107.0
22,16387.619235795395,15797.0,-590.6192357953951,-3.604057595537175,5531.310260834111,5742.0,210.68973916588857,3.809038532112949,410003.0705033705,410383.0,379.92949662951287,15797.0,0.0,5742.0,0.0,3.7941154272751545,3.657373322034997,1.2806271180523594,1.3294066984316613,274358.4713095568,262283.0,-12075.4713095568,-4.401348080093408,92929.37840220865,104885.0,11955.621597791353,12.865276625488764,1005.1502882345521,1125.0,119.84971176544786,15797.0,246486.0,5742.0,99143.0,74.49462012841862,71.2158525956236,25.232458505105622,28.478684091199124,246486.0,99143.0,147343.0
23,10491.762972566768,9893.0,-598.7629725667684,-5.706981506657917,9021.814731888151,5702.0,-3319.814731888151,-36.79763806448014,359644.4222955451,363563.0,3918.5777044548886,9893.0,0.0,5702.0,0.0,2.76712161488529,2.6092024960570526,2.3794340965740273,1.503858549733884,155507.64348005055,154692.0,-815.6434800505522,-0.5245037875936869,184174.71303080878,185538.0,1363.2869691912201,0.7402139776719343,1770.643489140668,1223.0,-547.643489140668,9893.0,144799.0,5702.0,179836.0,45.542913220868044,45.30403891604408,53.93852536976064,54.33778587389773,144799.0,179836.0,-35037.0
24,21370.0,21370.0,0.0,0.0,9878.0,9878.0,0.0,0.0,512536.0,512536.0,0.0,21370.0,0.0,9878.0,0.0,3.9298692127756607,3.9298692127756607,1.816530092830977,1.816530092830977,306732.0,306732.0,0.0,0.0,152779.0,152779.0,0.0,0.0,2340.0,2340.0,0.0,21370.0,285362.0,9878.0,142901.0,66.41362690564706,66.41362690564706,33.07971618552304,33.07971618552304,285362.0,142901.0,142461.0
25,16989.332827926853,15323.0,-1666.3328279268535,-9.808112212551139,3663.0385332467877,4834.0,1170.9614667532123,31.966943730600438,347950.62863882637,348446.0,495.37136117363116,15323.0,0.0,4834.0,0.0,4.6091140950906135,4.157047012639615,0.9937625394385796,1.3114380512366963,254094.1461907249,209650.0,-44444.14619072489,-17.491212157782176,79106.16513827929,123397.0,44290.83486172071,55.98910626535791,792.6886709958198,946.0,153.31132900418015,15323.0,194327.0,4834.0,118563.0,76.07768611639312,62.77077663304321,23.68497697205609,36.94598389786613,194327.0,118563.0,75764.0
26,17052.34233979249,16457.0,-595.3423397924889,-3.491264296302731,4768.084337183054,4998.0,229.91566281694577,4.821971394758887,519056.5733230245,519422.0,365.42667697550496,16457.0,0.0,4998.0,0.0,3.152720921723883,3.0426511018216713,0.8815468835212172,0.9240548220759988,367601.13017377566,359100.0,-8501.130173775658,-2.3125963105056093,105406.47560704463,113868.0,8461.524392955369,8.027518560149884,1163.3942191797105,1203.0,39.60578082028951,16457.0,342643.0,4998.0,108870.0,77.52501316482359,75.73217257065488,22.2296335303181,24.014121487817686,342643.0,108870.0,233773.0
