district,old_expected_republican_voters_known,new_republican_voters_known,net_republican_change_known,pct_republican_change_known,old_expected_democrat_voters_known,new_democrat_voters_known,net_democrat_change_known,pct_democrat_change_known,old_expected_other_voters_known,new_other_voters_known,net_other_change_known,new_rep_known_known,new_rep_modeled_known,new_dem_known_known,new_dem_modeled_known,old_expected_republican_pct_known,new_republican_pct_known,old_expected_democrat_pct_known,new_democrat_pct_known,old_expected_republican_voters_modeled,new_republican_voters_modeled,net_republican_change_modeled,pct_republican_change_modeled,old_expected_democrat_voters_modeled,new_democrat_voters_modeled,net_democrat_change_modeled,pct_democrat_change_modeled,old_expected_other_voters_modeled,new_other_voters_modeled,net_other_change_modeled,new_rep_known_modeled,new_rep_modeled_modeled,new_dem_known_modeled,new_dem_modeled_modeled,old_expected_republican_pct_modeled,new_republican_pct_modeled,old_expected_democrat_pct_modeled,new_democrat_pct_modeled,rep_voters_diff,dem_voters_diff,net_advantage_diff
18,19545.885302955052,15697.0,-3848.885302955052,-19.691537340460894,5736.715637151588,7268.0,1531.2843628484115,26.692701184832117,489855.39905989333,492173.0,2317.6009401066694,15697.0,0.0,7268.0,0.0,3.7943008092889774,3.047144648618428,1.1136269576601976,1.4108840737821708,288673.3917871445,215610.0,-73063.39178714447,-25.310054153178868,166213.11271096935,239233.0,73019.88728903065,43.93148416395168,1117.4955018861801,1161.0,43.504498113819864,15697.0,199913.0,7268.0,231965.0,63.305013067241624,47.2824799782458,36.44992427938556,52.46291699195621,199913.0,231965.0,-32052.0
19,7522.645384513333,7158.0,-364.64538451333283,-4.847302589379241,10125.458484611829,7209.0,-2916.4584846118287,-28.803223963083923,480321.89613087487,483603.0,3281.1038691251306,7158.0,0.0,7209.0,0.0,1.5106623661090695,1.4374359901198868,2.033347086091899,1.4476775709380083,93815.85549346567,81372.0,-12443.855493465671,-13.264128358699873,366927.50611436536,380106.0,13178.493885634642,3.5915797169828743,1509.6383921689703,775.0,-734.6383921689703,7158.0,74214.0,7209.0,372897.0,20.295348108820424,17.603347084821515,79.37806917734777,82.22899580965401,74214.0,372897.0,-298683.0
20,16050.718327576787,12244.0,-3806.7183275767875,-23.71680973951461,11736.173339846948,13380.0,1643.8266601530522,14.006496091633982,597107.1083325763,599270.0,2162.8916674236534,12244.0,0.0,13380.0,0.0,2.5685505585870225,1.9593723095436986,1.8781062611974109,2.141163141268759,259363.96780477228,223020.0,-36343.967804772285,-14.01272817977901,355703.97129437083,391734.0,36030.02870562917,10.129217442953909,1915.0609008568572,2229.0,313.9390991431428,12244.0,210776.0,13380.0,378354.0,42.0374577265131,36.14686304160731,57.652151079425344,63.49186282280063,210776.0,378354.0,-167578.0
21,3824.9369585446843,4917.0,1092.0630414553157,28.551138313945568,7487.685270434229,9227.0,1739.314729565771,23.229004248263546,239223.3777710211,236392.0,-2831.3777710210998,4917.0,0.0,9227.0,0.0,1.5267015353261346,1.9625922023182296,2.988666407396234,3.6829038541367307,58197.93185987945,80588.0,22390.06814012055,38.472274571591505,188943.11205028056,166464.0,-22479.112050280557,-11.897291098020304,830.9560898399795,920.0,89.04391016002046,4917.0,75671.0,9227.0,157237.0,23.469557796799418,32.49883051312245,76.19534142979069,67.13015985675803,75671.0,157237.0,-81566.0
22,29972.280541319084,29946.0,-26.280541319083568,-0.08768282174208876,6743.548766579024,7472.0,728.4512334209758,10.802194195305216,668959.1706921019,668257.0,-702.1706921019359,29946.0,0.0,7472.0,0.0,4.247320727150471,4.243596556488469,0.9556167876967477,1.058844368866688,492397.34040803154,475635.0,-16762.340408031538,-3.4042304928254086,163108.25333299284,179830.0,16721.74666700716,10.251931662139107,1459.4062589756213,1500.0,40.59374102437869,29946.0,445689.0,7472.0,172358.0,74.95031552792486,72.39883403225437,24.82754078725546,27.372843302154603,445689.0,172358.0,273331.0
23,3606.0,3606.0,0.0,0.0,21972.0,21972.0,0.0,0.0,546452.0,546452.0,0.0,3606.0,0.0,21972.0,0.0,0.6303865181896054,0.6303865181896054,3.841057287205216,3.841057287205216,12209.0,12209.0,0.0,0.0,553253.0,553253.0,0.0,0.0,737.0,737.0,0.0,3606.0,8603.0,21972.0,531281.0,2.156309000898977,2.156309000898977,97.71352475013202,97.71352475013202,8603.0,531281.0,-522678.0
24,17446.31525007951,18736.0,1289.6847499204887,7.392304514929656,4499.691432986304,4109.0,-390.6914329863039,-8.682627215773643,398416.9933169342,397518.0,-898.9933169342112,18736.0,0.0,4109.0,0.0,4.150297540477994,4.457100172945763,1.0704299457816944,0.9774885039834619,278191.7009570045,309366.0,31174.299042995495,11.206049258749667,115659.15921708335,84710.0,-30949.159217083346,-26.758934983259003,1121.1398259121488,896.0,-225.1398259121488,18736.0,290630.0,4109.0,80601.0,70.43327146152247,78.32605855604953,29.2828755499335,21.447089920298147,290630.0,80601.0,210029.0
25,23428.071323306933,24992.0,1563.9286766930672,6.675447821166674,9433.314998621969,8295.0,-1138.3149986219687,-12.066966901754634,567598.6136780712,567173.0,-425.6136780711822,24992.0,0.0,8295.0,0.0,3.9016872603182446,4.162142357525897,1.5710147218169352,1.381440895313593,410176.31932565745,436484.0,26307.680674342555,6.4137492670452545,117444.46454997164,91349.0,-26095.464549971643,-22.21940782817247,2425.2161243709124,2213.0,-212.21612437091244,24992.0,411492.0,8295.0,83054.0,77.38504192573049,82.3483244850447,22.15740983800871,17.234164581941943,411492.0,83054.0,328438.0
26,9376.404847384982,9628.0,251.59515261501838,2.6832795374144562,13286.856795541233,13699.0,412.1432044587673,3.1018864039918994,573469.7383570737,572806.0,-663.7383570737438,9628.0,0.0,13699.0,0.0,1.5728712967383085,1.615075830393553,2.228841012918465,2.297977129264778,65589.97664126781,62929.0,-2660.9766412678146,-4.056986718902999,479250.9447106426,481791.0,2540.0552893573768,0.530005275397211,1411.0786480895476,1532.0,120.92135191045236,9628.0,53301.0,13699.0,468092.0,12.007274415703343,11.52014088735602,87.73440549611583,88.19940247358362,53301.0,468092.0,-414791.0
27,19288.47435853784,20105.0,816.5256414621617,4.233230821082204,7738.239343934326,8343.0,604.7606560656741,7.815222936206025,536721.2862975278,535300.0,-1421.2862975278404,20105.0,0.0,8343.0,0.0,3.4214710045158183,3.566309769613373,1.3726415604018687,1.4799165584622918,324805.0340274797,328709.0,3903.9659725202946,1.2019413381967488,220505.59592612876,216737.0,-3768.5959261287644,-1.7090704253107825,1550.3700463915302,1415.0,-135.3700463915302,20105.0,308604.0,8343.0,208394.0,59.39444100557174,60.10832734460859,40.32205549968434,39.63292317426183,308604.0,208394.0,100210.0
28,10720.361628426932,12577.0,1856.638371573068,17.318803562091258,1371.347118603978,1411.0,39.65288139602194,2.891527670717557,213286.2912529691,211390.0,-1896.2912529690948,12577.0,0.0,1411.0,0.0,4.756614056574702,5.580402701239695,0.6084653864192504,0.6260593314343015,197016.6188973337,215617.0,18600.381102666288,9.44102137513538,25963.431190841806,7342.0,-18621.431190841806,-71.72176533204218,522.9499118244821,544.0,21.050088175517885,12577.0,203040.0,1411.0,5931.0,88.14942926821283,96.47163572748464,11.616591808987712,3.284967092164311,203040.0,5931.0,197109.0
29,9294.100975774103,11658.0,2363.899024225897,25.434402212625074,3406.034322189382,2243.0,-1163.0343221893818,-34.14628897344138,242126.86470203652,240926.0,-1200.864702036517,11658.0,0.0,2243.0,0.0,3.647219869077493,4.574868440157441,1.3366065299946166,0.8802050018247675,152863.84754704862,209603.0,56739.152452951384,37.11744363590491,91378.21801645402,34581.0,-56797.21801645402,-62.156189132761185,731.9344364973658,790.0,58.06556350263418,11658.0,197945.0,2243.0,32338.0,62.400029205976395,85.56132487529288,37.30119033711905,14.116191922408092,197945.0,32338.0,165607.0
30,21838.693659255776,22305.0,466.30634074422414,2.135230009724469,4997.752402261851,4975.0,-22.752402261850875,-0.45525269022038267,576439.5539384824,575996.0,-443.5539384824224,22305.0,0.0,4975.0,0.0,3.6200169838110208,3.6973126728064765,0.828435476011287,0.8246640012200055,413419.4347183051,424937.0,11517.565281694871,2.785927393457612,130805.14162602442,119223.0,-11582.141626024415,-8.854500275790446,1330.4236556704564,1395.0,64.57634432954364,22305.0,402632.0,4975.0,114248.0,75.77960695407523,77.89077178286333,23.976526954390376,21.85352530908891,402632.0,114248.0,288384.0
31,12804.07834381442,12758.0,-46.078343814420805,-0.3598723982869177,706.1552936248881,741.0,34.844706375111855,4.934425428752995,221775.7663625607,221787.0,11.23363743929076,12758.0,0.0,741.0,0.0,5.441921042397092,5.422337070628937,0.30012635414979566,0.3149358652873524,227196.24798213012,228194.0,997.752017869876,0.43915866865387365,7183.526238838065,6129.0,-1054.5262388380652,-14.679785439311413,428.2257790318108,485.0,56.774220968189184,12758.0,215436.0,741.0,5388.0,96.75830805685077,97.18323055432523,3.059319204983674,2.6102177097884227,215436.0,5388.0,210048.0
