district,old_expected_republican_voters_known,new_republican_voters_known,net_republican_change_known,pct_republican_change_known,old_expected_democrat_voters_known,new_democrat_voters_known,net_democrat_change_known,pct_democrat_change_known,old_expected_other_voters_known,new_other_voters_known,net_other_change_known,new_rep_known_known,new_rep_modeled_known,new_dem_known_known,new_dem_modeled_known,old_expected_republican_pct_known,new_republican_pct_known,old_expected_democrat_pct_known,new_democrat_pct_known,old_expected_republican_voters_modeled,new_republican_voters_modeled,net_republican_change_modeled,pct_republican_change_modeled,old_expected_democrat_voters_modeled,new_democrat_voters_modeled,net_democrat_change_modeled,pct_democrat_change_modeled,old_expected_other_voters_modeled,new_other_voters_modeled,net_other_change_modeled,new_rep_known_modeled,new_rep_modeled_modeled,new_dem_known_modeled,new_dem_modeled_modeled,old_expected_republican_pct_modeled,new_republican_pct_modeled,old_expected_democrat_pct_modeled,new_democrat_pct_modeled,rep_voters_diff,dem_voters_diff,net_advantage_diff
12,5751.4963334714,5813.0,61.50366652859975,1.0693507039320027,1653.9464531468122,2278.0,624.0535468531878,37.73118202622934,113535.55721338179,112850.0,-685.5572133817914,5813.0,0.0,2278.0,0.0,4.7556216117539964,4.80647588493563,1.3675647242430709,1.8835630596737252,87889.802570657,84995.0,-2894.8025706570043,-3.293672856222192,30046.855378375967,32922.0,2875.144621624033,9.568870304122436,326.3420509670286,346.0,19.657949032971374,5813.0,79182.0,2278.0,30644.0,74.31724425277307,71.86947735132712,25.406809719334,27.83795438979224,79182.0,30644.0,48538.0
13,1260.3906379938544,1100.0,-160.3906379938544,-12.725470434241393,113.33785889176345,154.0,40.662141108236554,35.87692718552986,16426.27150311438,16546.0,119.72849688561837,1100.0,0.0,154.0,0.0,7.080846280864351,6.179775280898876,0.6367295443357497,0.8651685393258427,15871.5985663686,15790.0,-81.59856636860059,-0.5141168737817329,167.1915669249124,154.0,-13.191566924912394,-7.8900910898435885,58.20986670648702,153.0,94.79013329351298,1100.0,14690.0,154.0,0.0,98.5997301756141,98.092812325278,1.0386504747773646,0.9567000062123376,14690.0,0.0,14690.0
14,12577.884441545188,12891.0,313.11555845481234,2.4894135409654488,4686.646070904146,3920.0,-766.6460709041457,-16.358096158864512,319198.46948755067,319652.0,453.5305124493316,12891.0,0.0,3920.0,0.0,3.738266745985498,3.83132766455747,1.3929157354312793,1.1650612400174758,230360.37420227384,234460.0,4099.625797726156,1.7796575526163947,91182.46020330953,87078.0,-4104.460203309529,-4.501370322930325,849.1655944166268,854.0,4.8344055833731545,12891.0,221569.0,3920.0,83158.0,71.45350201068074,72.72512965582273,28.28310262143897,27.00997543363359,221569.0,83158.0,138411.0
15,313.2687264520867,360.0,46.731273547913304,14.917312071704892,34.78187502628102,45.0,10.218124973718979,29.37772896371519,5716.949398521632,5660.0,-56.94939852163225,360.0,0.0,45.0,0.0,5.165189224271833,5.935696619950536,0.5734851611917728,0.741962077493817,5678.666273197891,6012.0,333.3337268021087,5.869929852637646,374.56447899884677,45.0,-329.56447899884677,-87.98604712324082,11.76924780326192,8.0,-3.769247803261919,360.0,5652.0,45.0,0.0,93.63011167679953,99.12613355317394,6.175836422074967,0.741962077493817,5652.0,0.0,5652.0
16,2416.806660768948,2276.0,-140.80666076894795,-5.826145014187769,252.1149096422686,160.0,-92.1149096422686,-36.536875099125425,45889.078429588786,46122.0,232.9215704112139,2276.0,0.0,160.0,0.0,4.977154456050389,4.687178219860785,0.5192036526262791,0.3295028625561185,46122.19618258015,48328.0,2205.803817419852,4.782521215355655,2349.26653882623,160.0,-2189.26653882623,-93.18936368625327,86.53727859362198,70.0,-16.537278593621977,2276.0,46052.0,160.0,0.0,94.98372293459398,99.52633963507557,4.838062809065921,0.3295028625561185,46052.0,0.0,46052.0
17,838.2645663103382,969.0,130.73543368966182,15.59596324882252,53.5650912314993,9.0,-44.5650912314993,-83.19801237506809,13555.170342458163,13469.0,-86.17034245816285,969.0,0.0,9.0,0.0,5.802343505989743,6.707274866754344,0.3707696492801225,0.062296670589049634,13706.797012558935,13734.0,27.20298744106549,0.19846348797710064,365.6773062961572,353.0,-12.677306296157212,-3.46680148805571,23.525681144908276,9.0,-14.525681144908276,969.0,12765.0,9.0,344.0,97.23891183710936,97.43189557321226,2.5941920140192765,2.504256526674234,12765.0,344.0,12421.0
18,2816.7471798376555,3152.0,335.2528201623445,11.902126770982226,190.29646084604659,212.0,21.703539153953415,11.405119705043798,54847.9563593163,54491.0,-356.9563593162966,3152.0,0.0,212.0,0.0,4.868632235481212,5.448103016161093,0.3289196453997867,0.36643332469103795,57484.60298073427,57436.0,-48.602980734271114,-0.08454956321183987,209.16451913396264,212.0,2.835480866037358,1.3556223004635553,84.23250013176624,130.0,45.767499868233756,3152.0,54284.0,212.0,0.0,99.49219941973463,99.4080791996954,0.3620141215236987,0.3669216656859012,54284.0,0.0,54284.0
19,3649.1152953959786,5081.0,1431.8847046040214,39.23922892791587,790.7882655767777,973.0,182.2117344232223,23.04178531156155,67053.09643902724,65439.0,-1614.096439027242,5081.0,0.0,973.0,0.0,5.104157463522273,7.106989495475082,1.106105864317874,1.360972402892591,64777.071871513326,66389.0,1611.9281284866738,2.488423885049894,6467.788473222214,4834.0,-1633.7884732222137,-25.260388152556107,248.1396552644601,270.0,21.86034473553991,5081.0,61308.0,973.0,3861.0,90.60617385130479,92.86083952275048,9.046743699693975,6.7615011259843625,61308.0,3861.0,57447.0
21,6030.599195793827,6306.0,275.40080420617323,4.566723724538973,1058.085267158891,635.0,-423.08526715889093,-39.98593310867421,109062.31553704728,109210.0,147.6844629527186,6306.0,0.0,635.0,0.0,5.1920338144258995,5.429139654415373,0.9109566574191276,0.5467021377345007,100627.15916086899,108441.0,7813.840839131008,7.765141045708448,10765.156490775349,2984.0,-7781.156490775349,-72.280941734967,283.6843483556586,251.0,-32.684348355658585,6306.0,102135.0,635.0,2349.0,90.10634259900874,97.10322719295104,9.639632947791243,2.6720154733335724,102135.0,2349.0,99786.0
22,10516.720903967618,10544.0,27.279096032381858,0.25938784799442893,1918.4327908871903,1891.0,-27.432790887190322,-1.4299584023740477,214617.84630514518,214618.0,0.15369485481642187,10544.0,0.0,1891.0,0.0,4.631835256071322,4.643849673864692,0.8449273037075882,0.8328451947342691,193956.6166022004,197983.0,4026.3833977995964,2.0759195887901036,24316.91104024853,20301.0,-4015.911040248531,-16.514889714411222,584.4723575510652,574.0,-10.472357551065215,10544.0,187439.0,1891.0,18410.0,88.6221278647344,90.46185197708103,11.110816620936193,9.275877509618107,187439.0,18410.0,169029.0
