COUNTY,NEWSD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
ANDERSON,3,2550,210,27926,30686,8.309978491820374,0.6843511699146191,91.005670338265
ANDREWS,31,774,15,9974,10763,7.19130353990523,0.139366347672582,92.66933011242219
ANGELINA,3,3266,319,52526,56111,5.820605585357595,0.5685159772593609,93.61087843738305
ARANSAS,18,1406,147,18403,19956,7.045500100220485,0.7366205652435358,92.21787933453598
ARCHER,30,529,21,6475,7025,7.530249110320285,0.298932384341637,92.17081850533808
ARMSTRONG,31,224,1,1215,1440,15.555555555555555,0.06944444444444445,84.375
ATASCOSA,19,381,60,10163,10604,3.592983779705771,0.5658242172764995,95.84119200301772
ATASCOSA,24,946,197,20468,21611,4.3774003979454905,0.9115728101429829,94.71102679191152
AUSTIN,18,1347,123,20708,22178,6.073586437009649,0.5546036612859591,93.3718099017044
BAILEY,31,278,5,2906,3189,8.717466290373158,0.15678896205707119,91.12574474756977
BANDERA,24,1369,142,17552,19063,7.181450978334994,0.7448984944657189,92.07365052719929
BASTROP,5,2704,1205,57611,61520,4.395318595578673,1.9587126137841353,93.64596879063718
BAYLOR,28,147,13,2273,2433,6.041923551171394,0.5343197698314838,93.42375667899712
BEE,27,522,98,15402,16022,3.2580202221944825,0.6116589689177382,96.13032080888779
BELL,24,6409,1985,232366,240760,2.661987041036717,0.8244725037381625,96.51354045522513
BEXAR,19,4577,6785,440031,451393,1.0139723035137895,1.5031247715405422,97.48290292494566
BEXAR,21,222,127,11178,11527,1.925913073653162,1.1017610826754576,96.97232584367138
BEXAR,25,10034,5325,269832,285191,3.5183438467553327,1.8671697213446428,94.61448643190002
BEXAR,26,7233,12741,527578,547552,1.320970428379405,2.326902285079773,96.35212728654082
BLANCO,25,887,205,9960,11052,8.025696706478465,1.8548678972131742,90.11943539630836
BORDEN,31,72,0,415,487,14.784394250513348,0.0,85.21560574948666
BOSQUE,22,731,79,12884,13694,5.3381042792463855,0.5768949905067913,94.08500073024683
BOWIE,1,2422,383,60057,62862,3.852884095319907,0.609271101778499,95.53784480290159
BRAZORIA,11,5529,2801,165135,173465,3.1873865044821725,1.6147349609431298,95.1978785345747
BRAZORIA,17,4909,554,71579,77042,6.371849121258534,0.7190882895044262,92.90906258923704
BRAZOS,5,5148,949,127603,133700,3.850411368735976,0.7097980553477936,95.43979057591623
BREWSTER,19,13,20,510,543,2.394106813996317,3.683241252302026,93.92265193370166
BREWSTER,29,292,238,6367,6897,4.233724807887487,3.4507756995795273,92.31549949253298
BRISCOE,31,128,3,910,1041,12.295869356388089,0.2881844380403458,87.41594620557157
BROOKS,20,9,560,4382,4951,0.1817814582912543,11.310846293678045,88.5073722480307
