COUNTY,NEWSD,Democrat,Republican,Swing,Unknown,All
JASPER,3,162,1712,107,22602,24583
JEFF DAVIS,29,39,187,48,1301,1575
JEFFERSON,3,3522,2415,539,105498,111974
JEFFERSON,4,1015,719,124,34363,36221
JIM HOGG,21,584,4,7,2963,3558
JIM WELLS,20,1440,247,171,24622,26480
JOHNSON,10,636,4856,167,123653,129312
JONES,28,26,395,13,10463,10897
KARNES,21,36,413,50,7968,8467
KAUFMAN,2,789,4187,222,103057,108255
KENDALL,25,324,2711,161,35892,39088
KENEDY,27,34,2,6,229,271
KENT,28,6,48,3,543,600
KERR,24,406,3492,134,36187,40219
KIMBLE,24,10,452,10,2854,3326
KING,28,0,22,0,143,165
KINNEY,19,22,286,38,1828,2174
KLEBERG,27,376,434,134,17797,18741
KNOX,28,4,57,2,2166,2229
LA SALLE,21,668,14,53,3482,4217
LAMAR,1,151,1862,106,31075,33194
LAMB,28,17,353,13,7519,7902
LAMPASAS,24,125,1153,50,15655,16983
LAVACA,18,48,1083,29,13334,14494
LEE,18,80,928,33,11160,12201
LEON,5,38,934,17,11693,12682
LIBERTY,3,208,3038,124,51331,54701
LIMESTONE,5,75,1066,56,13276,14473
LIPSCOMB,31,1,144,1,1676,1822
LIVE OAK,21,34,478,14,7269,7795
LLANO,24,203,1836,94,16364,18497
LOVING,31,5,9,6,109,129
LUBBOCK,28,1137,8684,479,187315,197615
LYNN,28,4,130,3,4252,4389
MADISON,5,16,763,25,7674,8478
MARION,1,53,366,16,7412,7847
MARTIN,31,1,312,5,3191,3509
MASON,28,20,393,25,2854,3292
MATAGORDA,17,172,1373,78,20822,22445
MAVERICK,19,2824,64,226,32837,35951
MCCULLOCH,28,14,579,15,4835,5443
MCLENNAN,22,1260,6115,352,152116,159843
MCMULLEN,21,1,59,4,579,643
MEDINA,24,281,2232,78,36026,38617
MENARD,28,3,259,4,1253,1519
MIDLAND,31,268,4668,101,94239,99276
MILAM,5,122,1488,74,15540,17224
MILLS,28,10,635,11,2987,3643
MITCHELL,31,5,315,5,4213,4538
MONTAGUE,30,29,1096,29,14530,15684
MONTGOMERY,0,0,0,0,9,9
MONTGOMERY,4,1940,15121,628,352384,370073
MONTGOMERY,7,214,2425,61,47653,50353
MONTGOMERY,18,106,1848,38,33134,35126
MOORE,31,5,681,4,9458,10148
MORRIS,1,69,352,25,8555,9001
MOTLEY,28,1,116,0,736,853
NACOGDOCHES,3,333,2580,173,36985,40071
NAVARRO,2,160,1828,68,30912,32968
NEWTON,3,29,601,55,8821,9506
NOLAN,28,21,436,14,8025,8496
NUECES,20,2632,2848,350,163116,168946
NUECES,27,480,1163,113,48524,50280
OCHILTREE,31,4,463,6,4744,5217
OLDHAM,31,1,146,1,1196,1344
ORANGE,3,250,3117,119,52858,56344
PALO PINTO,10,77,1363,65,18891,20396
PANOLA,1,90,1411,40,16366,17907
PARKER,0,0,0,0,1,1
PARKER,10,177,3390,106,47919,51592
PARKER,30,310,3936,143,71867,76256
PARMER,31,3,196,1,4370,4570
PECOS,29,127,311,115,7793,8346
POLK,3,135,2268,64,42081,44548
POTTER,31,323,2625,129,56754,59831
PRESIDIO,29,519,10,54,3862,4445
RAINS,8,42,611,17,8756,9426
RANDALL,31,347,5883,210,93921,100361
REAGAN,31,1,151,3,1654,1809
REAL,19,15,321,12,2356,2704
RED RIVER,1,63,468,24,8219,8774
REEVES,29,565,20,47,7225,7857
REFUGIO,18,50,246,38,4619,4953
ROBERTS,31,0,126,0,597,723
ROBERTSON,5,101,1066,78,11371,12616
ROCKWALL,2,713,4107,251,83177,88248
RUNNELS,28,12,552,9,6256,6829
RUSK,1,203,2013,73,32138,34427
SABINE,3,36,688,23,7732,8479
SAN AUGUSTINE,3,49,358,12,5646,6065
SAN JACINTO,5,102,1603,28,18793,20526
SAN PATRICIO,27,441,1306,112,43513,45372
SAN SABA,28,6,492,5,3300,3803
SCHLEICHER,31,23,169,12,1532,1736
SCURRY,31,20,719,13,8648,9400
SHACKELFORD,10,3,231,4,2205,2443
SHELBY,3,41,1089,36,15229,16395
SHERMAN,31,1,149,1,1301,1452
SMITH,1,1656,8968,300,151278,162202
SOMERVELL,22,28,757,27,6623,7435
STARR,21,1033,28,264,35146,36471
STEPHENS,10,5,580,5,5319,5909
STERLING,31,2,132,1,739,874
STONEWALL,28,5,59,21,872,957
SUTTON,24,11,344,11,1988,2354
SWISHER,31,11,290,14,3594,3909
TARRANT,9,6690,17853,1475,594730,620748
TARRANT,10,8071,8568,894,344121,361654
TARRANT,12,1106,4194,402,68181,73883
TARRANT,22,3216,3751,426,197029,204422
TARRANT,23,1144,368,48,50305,51865
TAYLOR,28,306,3402,193,86272,90173
TERRELL,19,23,26,38,539,626
TERRY,28,12,473,13,5923,6421
THROCKMORTON,28,2,112,0,1109,1223
TITUS,1,122,1326,59,16579,18086
TOM GREEN,28,308,3062,135,69294,72799
TRAVIS,0,1,0,0,50,51
TRAVIS,14,28629,6295,3022,658538,696484
TRAVIS,21,2927,497,187,119893,123504
TRAVIS,25,1873,2975,439,103047,108334
TRINITY,3,72,1091,41,11119,12323
