district,old_expected_republican_voters,new_republican_voters,net_republican_change,pct_republican_change,old_expected_democrat_voters,new_democrat_voters,net_democrat_change,pct_democrat_change,old_expected_other_voters,new_other_voters,net_other_change,old_expected_republican_pct,new_republican_pct,old_expected_democrat_pct,new_democrat_pct
1,36854.79660669387,38956.0,2101.203393306132,5.70130237246919,7187.649405863093,4265.0,-2922.6494058630933,-40.662103016307896,24997.55398744304,25819.0,821.4460125569603,53.381802732754736,56.4252607184241,10.41084792274492,6.17757821552723
2,49799.37336408772,51879.0,2079.626635912282,4.176009647165524,18168.913756772577,15678.0,-2490.9137567725775,-13.7097560708277,37334.712879139704,37746.0,411.28712086029554,47.29150486129333,49.2664026665907,17.253937453607758,14.888464716104954
3,60426.50405101562,64252.0,3825.4959489843823,6.330824543075789,13640.872506495642,8050.0,-5590.872506495642,-40.986179614488194,36438.62344248874,38204.0,1765.376557511263,54.681649911331164,58.1434492244765,12.344010738327006,7.28467232548459
4,43924.56329619272,43430.0,-494.56329619271855,-1.1259378786711494,14263.638195801157,13306.0,-957.638195801157,-6.713842447876031,26923.798508006126,28376.0,1452.2014919938738,51.60795574794708,51.02688222577309,16.758668807925037,15.633518187799606
5,41934.37830880716,40832.0,-1102.3783088071577,-2.628817579431322,11965.396052571286,15794.0,3828.6039474287136,31.997302309153163,29076.225638621556,26350.0,-2726.225638621556,50.5379607462485,49.20940994986503,14.420309550437821,19.034419591207097
6,104187.79234155627,119308.0,15120.20765844373,14.51245613197708,71969.77079575926,59308.0,-12661.770795759265,-17.59317926924028,89071.43686268445,86613.0,-2458.4368626844516,39.28220230124016,44.98301467788213,27.13495537658373,22.361054032553003
7,71525.0699400703,72447.0,921.9300599296985,1.2889607248230148,27225.56163847126,27014.0,-211.56163847125936,-0.7770698774945043,50776.368421458435,50066.0,-710.3684214584355,47.83421719159102,48.450781464217165,18.20778965569513,18.066302406923164
8,35477.308451846824,31024.0,-4453.308451846824,-12.552554424728351,10514.999526665051,13679.0,3164.0004733349488,30.090352979202144,22721.692021488125,24011.0,1289.3079785118753,51.630393299541325,45.1494600809151,15.302557741748481,19.907151381086823
9,53475.0,53475.0,0.0,0.0,17639.0,17639.0,0.0,0.0,37251.0,37251.0,0.0,49.347113920546306,49.347113920546306,16.277395838139622,16.277395838139622
10,42317.94544954325,35428.0,-6889.945449543251,-16.28137986462104,14847.64393017015,20328.0,5480.35606982985,36.91061083902923,33395.410620286595,34805.0,1409.589379713405,46.72866404914174,39.12059274963837,16.395185488422335,22.446748600390897
11,65309.595856037144,66008.0,698.4041439628563,1.0693744691091924,24371.40960015965,21980.0,-2391.4096001596517,-9.812356525098105,40351.9945438032,42045.0,1693.005456196799,50.22540113358697,50.76249875031723,18.742480447393856,16.903401444248768
12,67818.57032492614,66077.0,-1741.5703249261423,-2.567984427542618,23376.251946871576,25256.0,1879.7480531284236,8.041272216780623,40328.17772820228,40190.0,-138.1777282022813,51.56403847610391,50.23988199782548,17.773508775553765,19.202724998669435
13,59885.53393707052,67395.0,7509.466062929481,12.539699605618695,67497.43334729066,61047.0,-6450.433347290658,-9.556560934845649,61361.03271563882,60302.0,-1059.032715638823,31.72844378474045,35.7070953248845,35.761366373124794,32.34380960454372
14,26936.341471659507,31702.0,4765.658528340493,17.692300691074095,67956.81728298379,62077.0,-5879.817282983786,-8.652284668511214,58679.8412453567,59794.0,1114.1587546433002,17.539763807218396,20.64295156049566,44.25049799312626,40.421818939527135
15,101146.96708477769,110037.0,8890.032915222313,8.789223415637379,78442.69239509871,70358.0,-8084.692395098711,-10.30649528751242,89422.3405201236,88617.0,-805.3405201236019,37.59942570769248,40.90412323613816,29.15955139365482,26.154223603408028
16,17594.0,17594.0,0.0,0.0,23131.0,23131.0,0.0,0.0,28247.0,28247.0,0.0,25.508902163196662,25.508902163196662,33.53679754103114,33.53679754103114
17,65246.661714837915,61918.0,-3328.6617148379155,-5.101658272397001,23805.374215604632,25407.0,1601.625784395368,6.728000870263523,38009.96406955745,39737.0,1727.035930442551,51.350255556215004,48.730540995734366,18.73524280713717,19.995750106247343
18,63376.83368729033,59946.0,-3430.833687290331,-5.413387649213462,21252.9669607121,25932.0,4679.0330392879005,22.015905110742832,41366.199351997566,40118.0,-1248.1993519975658,50.30067120169715,47.577700879393,16.86796958690125,20.58160576526239
19,27106.728022349296,25691.0,-1415.7280223492962,-5.222791999027101,29629.061255257828,29831.0,201.93874474217228,0.6815563375513195,27615.210722392872,28829.0,1213.7892776071276,32.13563327328579,30.457255989851927,35.12591582228762,35.36531872769736
20,57767.120950400364,60994.0,3226.8790495996363,5.5860132831793345,29850.752546258547,27556.0,-2294.752546258547,-7.6874194133044345,40917.12650334109,39985.0,-932.1265033410891,44.942716731163,47.45322285758743,23.223832066175397,21.438518691407012
21,19010.71357586789,17816.0,-1194.7135758678887,-6.284422576249071,34513.61277537049,37096.0,2582.387224629507,7.482228074576831,24511.673648761614,23124.0,-1387.6736487616145,24.361465959131543,22.830488492490645,44.227808672113504,47.5370341893485
22,62115.81850618283,64840.0,2724.1814938171665,4.385648550289986,18190.54473569705,18419.0,228.45526430294922,1.2559011707583971,48496.636758120105,45544.0,-2952.636758120105,48.22544389974056,50.340442381000436,14.122764792510306,14.3001327608829
23,11803.0,11803.0,0.0,0.0,43307.0,43307.0,0.0,0.0,35887.0,35887.0,0.0,12.970757277712453,12.970757277712453,47.59167884655538,47.59167884655538
