COUNTY,NEWCD,Democrat,Republican,Swing,Unknown,All
HOPKINS,4,98,1308,44,24004,25454
HOUSTON,17,129,1019,29,12760,13937
HOWARD,19,52,793,27,16367,17239
HUDSPETH,23,36,61,51,2067,2215
HUNT,0,0,0,0,2,2
HUNT,3,245,2666,113,60934,63958
HUNT,4,24,175,3,8868,9070
HUTCHINSON,13,28,1034,14,12398,13474
IRION,11,2,133,8,1091,1234
JACK,25,10,550,15,5295,5870
JACKSON,27,30,623,10,9261,9924
JASPER,36,162,1712,107,22602,24583
JEFF DAVIS,23,39,187,48,1301,1575
JEFFERSON,14,2946,2205,480,96385,102016
JEFFERSON,36,1591,929,183,43476,46179
JIM HOGG,28,584,4,7,2963,3558
JIM WELLS,15,1440,247,171,24622,26480
JOHNSON,6,190,1073,44,32891,34198
JOHNSON,25,446,3783,123,90762,95114
JONES,19,26,395,13,10463,10897
KARNES,15,36,413,50,7968,8467
KAUFMAN,5,789,4187,222,103057,108255
KENDALL,21,324,2711,161,35892,39088
KENEDY,34,34,2,6,229,271
KENT,19,6,48,3,543,600
KERR,21,406,3492,134,36187,40219
KIMBLE,11,10,452,10,2854,3326
KING,13,0,22,0,143,165
KINNEY,23,22,286,38,1828,2174
KLEBERG,34,376,434,134,17797,18741
KNOX,13,4,57,2,2166,2229
LA SALLE,23,668,14,53,3482,4217
LAMAR,4,151,1862,106,31075,33194
LAMB,19,17,353,13,7519,7902
LAMPASAS,11,125,1153,50,15655,16983
LAVACA,27,48,1083,29,13334,14494
LEE,10,80,928,33,11160,12201
LEON,17,38,934,17,11693,12682
LIBERTY,36,208,3038,124,51331,54701
LIMESTONE,17,75,1066,56,13276,14473
LIPSCOMB,13,1,144,1,1676,1822
LIVE OAK,15,34,478,14,7269,7795
LLANO,11,203,1836,94,16364,18497
LOVING,23,5,9,6,109,129
LUBBOCK,19,1137,8684,479,187315,197615
LYNN,19,4,130,3,4252,4389
MADISON,10,16,763,25,7674,8478
MARION,1,53,366,16,7412,7847
MARTIN,19,1,312,5,3191,3509
MASON,11,20,393,25,2854,3292
MATAGORDA,22,172,1373,78,20822,22445
MAVERICK,23,2824,64,226,32837,35951
MCCULLOCH,11,14,579,15,4835,5443
MCLENNAN,17,1260,6115,352,152116,159843
MCMULLEN,28,1,59,4,579,643
MEDINA,23,281,2232,78,36026,38617
MENARD,11,3,259,4,1253,1519
MIDLAND,11,268,4668,101,94239,99276
MILAM,17,122,1488,74,15540,17224
MILLS,11,10,635,11,2987,3643
MITCHELL,19,5,315,5,4213,4538
MONTAGUE,13,29,1096,29,14530,15684
MONTGOMERY,0,0,0,0,9,9
MONTGOMERY,2,1392,8215,462,227089,237158
MONTGOMERY,8,868,11179,265,206082,218394
MOORE,13,5,681,4,9458,10148
MORRIS,1,69,352,25,8555,9001
MOTLEY,13,1,116,0,736,853
NACOGDOCHES,17,333,2580,173,36985,40071
NAVARRO,6,160,1828,68,30912,32968
NEWTON,36,29,601,55,8821,9506
NOLAN,19,21,436,14,8025,8496
NUECES,27,3112,4011,463,211640,219226
OCHILTREE,13,4,463,6,4744,5217
OLDHAM,13,1,146,1,1196,1344
ORANGE,14,250,3117,119,52858,56344
PALO PINTO,25,77,1363,65,18891,20396
PANOLA,1,90,1411,40,16366,17907
PARKER,0,0,0,0,1,1
PARKER,12,369,5693,194,91690,97946
PARKER,25,118,1633,55,28096,29902
PARMER,19,3,196,1,4370,4570
PECOS,23,127,311,115,7793,8346
POLK,8,135,2268,64,42081,44548
