new_district,total_voters,republican_voters,democrat_voters,other_voters,republican_pct,democrat_pct,other_pct,expected_republican,expected_democrat,expected_other,expected_republican_pct,expected_democrat_pct,expected_other_pct,net_republican_change,net_democrat_change,net_other_change,pct_republican_change,pct_democrat_change,pct_other_change,contributing_old_districts,num_contributing_districts
1,472765,26889,2906,442970,5.687603777775427,0.6146817129017588,93.69771450932282,26889,2906,442970,5.687603777775427,0.6146817129017588,93.69771450932282,0,0,0,0.0,0.0,0.0,"1, 3, 4, 5, 17, 19, 22, 28, 30, 31",10
2,520693,18285,9684,492724,3.5116661833364384,1.859829112356033,94.62850470430753,18285,9684,492724,3.5116661833364384,1.859829112356033,94.62850470430753,0,0,0,0.0,0.0,0.0,"1, 2, 11, 17, 19, 20, 24, 27, 28, 31",10
3,413859,23092,2877,387890,5.579678102928775,0.6951642950860075,93.72515760198522,23092,2877,387890,5.579678102928775,0.6951642950860075,93.72515760198522,0,0,0,0.0,0.0,0.0,"1, 3, 10, 18, 19, 21, 24, 27, 28, 29, 31",11
4,605953,13543,10780,581630,2.2349918227981376,1.7790158642667007,95.98599231293517,13543,10780,581630,2.2349918227981376,1.7790158642667007,95.98599231293517,0,0,0,0.0,0.0,0.0,"2, 3, 4, 7, 8, 10, 14, 19, 20, 21, 24, 27, 28, 29, 30, 31",16
5,211250,10149,2332,198769,4.804260355029586,1.103905325443787,94.09183431952663,10149,2332,198769,4.804260355029586,1.103905325443787,94.09183431952663,0,0,0,0.0,0.0,0.0,"5, 10, 19, 21, 22, 27, 29, 31",8
6,1697782,39751,28522,1629509,2.341348889315589,1.6799565550818656,95.97869455560254,39751,28522,1629509,2.341348889315589,1.6799565550818656,95.97869455560254,0,0,0,0.0,0.0,0.0,"2, 4, 5, 6, 7, 8, 10, 14, 18, 19, 21, 22, 24, 25, 28, 29, 30, 31",18
7,987158,23952,12705,950501,2.4263593062103532,1.2870280137526109,96.28661268003704,23952,12705,950501,2.4263593062103532,1.2870280137526109,96.28661268003704,0,0,0,0.0,0.0,0.0,"2, 3, 4, 5, 7, 8, 10, 14, 18, 20, 21, 22, 24, 25, 27, 28, 29, 30, 31",19
8,504557,16484,6359,481714,3.2670243401637475,1.2603135027360637,95.47266215710019,16484,6359,481714,3.2670243401637475,1.2603135027360637,95.47266215710019,0,0,0,0.0,0.0,0.0,"8, 11, 17, 20, 24, 27",6
9,620748,17853,6690,596205,2.8760463183127456,1.07773202652284,96.04622165516442,17853,6690,596205,2.8760463183127456,1.07773202652284,96.04622165516442,0,0,0,0.0,0.0,0.0,9,1
10,399645,11219,8142,380284,2.807241426766255,2.0373081109484668,95.15545046228527,11219,8142,380284,2.807241426766255,2.0373081109484668,95.15545046228527,0,0,0,0.0,0.0,0.0,"10, 30",2
11,683149,21124,9756,652269,3.0921511998114615,1.4280925537474256,95.47975624644111,21124,9756,652269,3.0921511998114615,1.4280925537474256,95.47975624644111,0,0,0,0.0,0.0,0.0,"2, 4, 5, 7, 8, 10, 11, 14, 18, 21, 22, 24, 25, 28, 29, 30, 31",17
12,630374,21977,9887,598510,3.4863430281071235,1.5684339772896725,94.94522299460321,21977,9887,598510,3.4863430281071235,1.5684339772896725,94.94522299460321,0,0,0,0.0,0.0,0.0,"3, 12",2
13,1326411,23318,31703,1271390,1.757976976970185,2.3901339780807005,95.85188904494912,23318,31703,1271390,1.757976976970185,2.3901339780807005,95.85188904494912,0,0,0,0.0,0.0,0.0,"0, 2, 4, 5, 7, 8, 10, 13, 14, 18, 19, 21, 22, 24, 25, 28, 29, 30, 31",19
14,12122,971,25,11126,8.01022933509322,0.2062365946213496,91.78353407028543,971,25,11126,8.01022933509322,0.2062365946213496,91.78353407028543,0,0,0,0.0,0.0,0.0,"5, 28, 31",3
15,1622702,36501,33393,1552808,2.249396377153661,2.057863982419446,95.6927396404269,36501,33393,1552808,2.249396377153661,2.057863982419446,95.6927396404269,0,0,0,0.0,0.0,0.0,"2, 4, 5, 7, 8, 10, 14, 15, 18, 19, 21, 22, 24, 25, 28, 29, 30, 31",18
16,477578,6726,10370,460482,1.4083563313217944,2.171373053197593,96.4202706154806,6726,10370,460482,1.4083563313217944,2.171373053197593,96.4202706154806,0,0,0,0.0,0.0,0.0,16,1
17,810590,26514,12158,771918,3.270950788931519,1.4998951381092784,95.2291540729592,26514,12158,771918,3.270950788931519,1.4998951381092784,95.2291540729592,0,0,0,0.0,0.0,0.0,"2, 4, 5, 8, 10, 14, 17, 18, 21, 22, 24, 25, 28, 29, 30, 31",16
18,515138,15697,7268,492173,3.047144648618428,1.4108840737821708,95.5419712775994,15697,7268,492173,3.047144648618428,1.4108840737821708,95.5419712775994,0,0,0,0.0,0.0,0.0,"2, 3, 4, 5, 8, 10, 14, 18, 19, 20, 22, 27, 28, 29, 31",15
19,497970,7158,7209,483603,1.4374359901198868,1.4476775709380083,97.11488643894211,7158,7209,483603,1.4374359901198868,1.4476775709380083,97.11488643894211,0,0,0,0.0,0.0,0.0,"1, 5, 19, 28, 31",5
20,624894,12244,13380,599270,1.9593723095436986,2.141163141268759,95.89946454918754,12244,13380,599270,1.9593723095436986,2.141163141268759,95.89946454918754,0,0,0,0.0,0.0,0.0,"1, 3, 4, 5, 10, 18, 20, 21, 22, 28, 31",11
21,250536,4917,9227,236392,1.9625922023182296,3.6829038541367307,94.35450394354504,4917,9227,236392,1.9625922023182296,3.6829038541367307,94.35450394354504,0,0,0,0.0,0.0,0.0,"21, 28, 30, 31",4
22,705675,29946,7472,668257,4.243596556488469,1.058844368866688,94.69755907464484,29946,7472,668257,4.243596556488469,1.058844368866688,94.69755907464484,0,0,0,0.0,0.0,0.0,"1, 18, 21, 22, 29, 30, 31",7
23,572030,3606,21972,546452,0.6303865181896054,3.841057287205216,95.52855619460517,3606,21972,546452,0.6303865181896054,3.841057287205216,95.52855619460517,0,0,0,0.0,0.0,0.0,23,1
24,420363,18736,4109,397518,4.457100172945763,0.9774885039834619,94.56541132307078,18736,4109,397518,4.457100172945763,0.9774885039834619,94.56541132307078,0,0,0,0.0,0.0,0.0,"18, 21, 22, 24, 28, 31",6
25,600460,24992,8295,567173,4.162142357525897,1.381440895313593,94.4564167471605,24992,8295,567173,4.162142357525897,1.381440895313593,94.4564167471605,0,0,0,0.0,0.0,0.0,"5, 25, 31",3
26,596133,9628,13699,572806,1.615075830393553,2.297977129264778,96.08694704034167,9628,13699,572806,1.615075830393553,2.297977129264778,96.08694704034167,0,0,0,0.0,0.0,0.0,"1, 5, 26",3
27,563748,20105,8343,535300,3.566309769613373,1.4799165584622918,94.95377367192434,20105,8343,535300,3.566309769613373,1.4799165584622918,94.95377367192434,0,0,0,0.0,0.0,0.0,"1, 2, 3, 4, 5, 10, 18, 21, 24, 27, 28, 31",12
28,225378,12577,1411,211390,5.580402701239695,0.6260593314343015,93.793537967326,12577,1411,211390,5.580402701239695,0.6260593314343015,93.793537967326,0,0,0,0.0,0.0,0.0,"1, 10, 17, 18, 19, 24, 28, 29, 31",9
29,254827,11658,2243,240926,4.574868440157441,0.8802050018247675,94.54492655801779,11658,2243,240926,4.574868440157441,0.8802050018247675,94.54492655801779,0,0,0,0.0,0.0,0.0,"1, 3, 12, 19, 27, 28, 29, 31",8
30,603276,22305,4975,575996,3.6973126728064765,0.8246640012200055,95.47802332597351,22305,4975,575996,3.6973126728064765,0.8246640012200055,95.47802332597351,0,0,0,0.0,0.0,0.0,"1, 5, 10, 17, 18, 20, 24, 27, 30, 31",10
31,235286,12758,741,221787,5.422337070628937,0.3149358652873524,94.2627270640837,12758,741,221787,5.422337070628937,0.3149358652873524,94.2627270640837,0,0,0,0.0,0.0,0.0,"28, 31",2
