new_district,old_district,Democrat,Republican,Swing,Unknown
24,29,238,292,79,6288
24,31,16,605,19,7807
25,24,11,344,11,1988
25,25,6692,17544,1848,410364
25,28,10,324,9,4063
26,0,0,0,0,1
26,25,140,1045,53,15808
26,26,12741,7233,1271,526307
27,1,133,1598,58,28697
27,2,597,1978,165,47560
27,3,1743,1665,192,49767
27,4,282,218,48,10266
27,5,225,1190,64,26097
27,8,2890,7370,772,235887
27,11,258,676,37,17906
27,12,170,2964,91,52759
27,17,128,1146,47,14765
27,18,128,922,84,18699
27,21,1,59,4,579
27,22,101,2147,63,23737
27,27,1064,1341,210,64607
27,28,499,4022,190,92840
27,30,332,780,93,42488
27,31,15,774,19,9955
28,5,208,2253,108,28322
28,17,61,570,13,8091
28,28,534,7764,307,159416
28,30,13,563,12,7722
28,31,34,1049,24,18591
29,3,333,2580,173,36985
29,18,427,3624,137,67234
29,28,7,240,5,5186
29,29,851,75,122,7312
29,30,34,994,16,11363
29,31,9,263,9,5835
30,5,146,1249,84,21151
30,17,27,540,20,5501
30,24,142,1369,60,17492
30,29,672,121,36,21024
30,30,3683,10929,797,381189
30,31,0,5,0,77
31,5,16,763,25,7674
31,17,30,623,10,9261
31,19,23,26,38,539
31,22,28,757,27,6623
31,28,4,130,2,859
31,31,375,7219,263,129953
