COUNTY,2026_HD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
ANDERSON,35.0,608,55,8134,8797,6.911447084233262,0.6252131408434694,92.46333977492327
ANDERSON,36.0,353,20,3216,3589,9.83560880468097,0.5572582892170521,89.60713290610198
ANDERSON,39.0,1035,52,9424,10511,9.846827133479213,0.49471981733422127,89.65845304918658
ANDERSON,40.0,296,11,2342,2649,11.174027935069837,0.41525103812759534,88.41072102680256
ANDERSON,41.0,257,72,4809,5138,5.001946282600233,1.401323472168159,93.59673024523161
ANDREWS,74.0,774,15,9974,10763,7.19130353990523,0.139366347672582,92.66933011242219
ANGELINA,9.0,3266,319,52525,56110,5.820709320976653,0.5685261094279095,93.61076456959545
ARANSAS,80.0,1406,147,18403,19956,7.045500100220485,0.7366205652435358,92.21787933453598
ARCHER,13.0,529,21,6466,7016,7.539908779931586,0.2993158494868871,92.16077537058153
ARMSTRONG,73.0,224,1,1215,1440,15.555555555555555,0.06944444444444445,84.375
ATASCOSA,32.0,247,87,8815,9149,2.6997486064050715,0.9509235982074544,96.34932779538747
ATASCOSA,34.0,1080,170,21816,23066,4.682216249024538,0.7370155206797884,94.58076823029567
AUSTIN,54.0,925,78,15890,16893,5.475640797963654,0.4617297105309891,94.06262949150536
AUSTIN,55.0,422,45,4818,5285,7.984862819299905,0.8514664143803218,91.16367076631977
BAILEY,12.0,278,5,2905,3188,8.720200752823086,0.15683814303638646,91.12296110414053
BANDERA,69.0,1369,142,17552,19063,7.181450978334994,0.7448984944657189,92.07365052719929
BASTROP,116.0,403,163,8939,9505,4.239873750657549,1.7148869016307207,94.04523934771173
BASTROP,119.0,744,413,17248,18405,4.0423797881010595,2.2439554468894323,93.71366476500951
BASTROP,120.0,156,69,2421,2646,5.895691609977324,2.6077097505668934,91.49659863945578
BASTROP,121.0,263,135,7984,8382,3.1376759723216416,1.6105941302791698,95.25172989739919
BASTROP,122.0,246,90,5578,5914,4.159621237740954,1.5218126479540075,94.31856611430504
BASTROP,123.0,232,111,5411,5754,4.031977754605491,1.9290928050052139,94.0389294403893
BASTROP,124.0,138,63,2866,3067,4.499510922725791,2.0541245516791653,93.44636452559504
BASTROP,125.0,522,161,7164,7847,6.6522237797884545,2.0517395182872438,91.2960367019243
BAYLOR,31.0,147,13,2273,2433,6.041923551171394,0.5343197698314838,93.42375667899712
BEE,13.0,331,56,9208,9595,3.4497133923918706,0.583637311099531,95.96664929650859
BEE,56.0,191,42,6194,6427,2.971837560292516,0.6534930760852653,96.37466936362222
BELL,54.0,2718,889,110887,114494,2.3739235243768233,0.7764599018289169,96.84961657379426
BELL,55.0,3691,1096,121479,126266,2.923193892259199,0.8680088068046823,96.20879730093613
BEXAR,116.0,1185,2730,111948,115863,1.0227596385386188,2.3562310660003623,96.62100929546101
BEXAR,117.0,1007,1611,130837,133455,0.7545614626653179,1.207148477014724,98.03829006031995
BEXAR,118.0,2066,1936,135315,139317,1.4829489581314557,1.3896365841928837,97.12741445767567
BEXAR,119.0,1185,2450,117989,121624,0.9743142800763007,2.014405051634546,97.01128066828916
BEXAR,120.0,1003,2145,112964,116112,0.8638211382113822,1.847354278627532,97.28882458316109
BEXAR,121.0,5259,3168,140041,148468,3.5421774389093947,2.1337931406094244,94.32402942048118
BEXAR,122.0,5615,2705,154858,163178,3.441027589503487,1.6576989545159273,94.90127345598059
BEXAR,123.0,1930,3607,114379,119916,1.6094599553020446,3.0079388905567233,95.38260115414123
BEXAR,124.0,759,1690,102535,104984,0.722967309304275,1.6097691076735505,97.66726358302218
BEXAR,125.0,2057,2936,127753,132746,1.5495758817591492,2.2117427267111625,96.2386813915297
BLANCO,62.0,887,205,9959,11051,8.02642294814949,1.8550357433716407,90.11854130847887
BORDEN,83.0,72,0,415,487,14.784394250513348,0.0,85.21560574948666
BOSQUE,25.0,489,44,8843,9376,5.215443686006826,0.469283276450512,94.31527303754265
BOSQUE,29.0,242,35,4041,4318,5.604446503010653,0.8105604446503011,93.58499305233904
BOWIE,1.0,2422,383,60057,62862,3.852884095319907,0.609271101778499,95.53784480290159
BRAZORIA,12.0,3014,1100,66116,70230,4.291613270682045,1.5662822155773886,94.14210451374056
BRAZORIA,14.0,7424,2255,170598,180277,4.118107135130938,1.2508528542187856,94.63104001065028
BRAZOS,12.0,1131,198,21177,22506,5.0253265795787785,0.8797653958944283,94.09490802452679
BRAZOS,14.0,4017,751,106426,111194,3.6126049966724825,0.6753961544687663,95.71199884885874
BREWSTER,11.0,305,258,6877,7440,4.099462365591398,3.467741935483871,92.43279569892474
BRISCOE,31.0,128,3,910,1041,12.295869356388089,0.2881844380403458,87.41594620557157
BROOKS,31.0,9,560,4382,4951,0.1817814582912543,11.310846293678045,88.5073722480307
BROWN,129.0,234,3,2578,2815,8.312611012433392,0.10657193605683836,91.58081705150977
BROWN,131.0,152,1,1804,1957,7.766990291262135,0.0510986203372509,92.18191108840061
BROWN,133.0,40,2,1082,1124,3.558718861209965,0.1779359430604982,96.26334519572953
BROWN,134.0,167,6,3415,3588,4.654403567447045,0.16722408026755853,95.17837235228541
BROWN,139.0,163,4,2242,2409,6.7662930676629305,0.16604400166044,93.06766293067663
BROWN,140.0,269,8,3828,4105,6.552984165651645,0.194884287454324,93.25213154689403
BROWN,141.0,394,5,4821,5220,7.547892720306513,0.09578544061302681,92.35632183908045
BROWN,142.0,58,1,1380,1439,4.030576789437109,0.06949270326615706,95.89993050729674
