COUNTY,NEWHD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
COLORADO,85,1110,88,13626,14824,7.487857528332434,0.5936319481921208,91.91851052347545
COMAL,73,6910,1310,135797,144017,4.798044675281391,0.9096148371372823,94.29234048758133
COMANCHE,68,733,28,9297,10058,7.2877311592761975,0.27838536488367466,92.43388347584013
CONCHO,72,141,6,1653,1800,7.833333333333334,0.33333333333333337,91.83333333333333
COOKE,68,1547,96,28617,30260,5.112359550561798,0.3172504957038995,94.5703899537343
CORYELL,59,1816,222,45071,47109,3.854889723831964,0.4712475323186653,95.67386274384937
COTTLE,69,130,4,861,995,13.06532663316583,0.4020100502512563,86.53266331658291
CRANE,53,237,2,2438,2677,8.853193873739261,0.0747104968248039,91.07209562943594
CROCKETT,53,72,36,2188,2296,3.1358885017421603,1.5679442508710801,95.29616724738676
CROSBY,83,177,8,3457,3642,4.85996705107084,0.21965952773201539,94.92037342119714
CULBERSON,74,4,296,1404,1704,0.2347417840375587,17.370892018779344,82.3943661971831
DALLAM,86,116,2,2751,2869,4.043220634367375,0.06971070059254096,95.88706866504009
DALLAS,100,251,2808,87195,90254,0.2781040175504687,3.111219447337514,96.61067653511202
DALLAS,102,1514,2181,90117,93812,1.613866029932205,2.3248624909393256,96.06127147912848
DALLAS,103,681,2242,91531,94454,0.7209858767230609,2.3736421962013257,96.9053719270756
DALLAS,104,667,1453,87163,89283,0.7470627107064054,1.6274094732479867,97.6255278160456
DALLAS,105,1326,1051,80919,83296,1.5919131771033423,1.261765270841337,97.14632155205533
DALLAS,107,1077,1291,81439,83807,1.2850955170809122,1.5404441156466644,97.17446036727242
DALLAS,108,5170,4749,137157,147076,3.515189425875058,3.2289428594740133,93.25586771465093
DALLAS,109,834,5653,110318,116805,0.7140105303711314,4.839690081760199,94.44629938786868
DALLAS,110,183,2311,84967,87461,0.209236116669144,2.6423205771715397,97.14844330615932
DALLAS,111,957,6395,105041,112393,0.851476515441353,5.689856129830149,93.4586673547285
DALLAS,112,3936,3296,124591,131823,2.9858218975444344,2.500322402008754,94.51385570044681
DALLAS,113,1785,2312,103396,107493,1.6605732466300132,2.150837728968398,96.1885890244016
DALLAS,114,1199,3753,115306,120258,0.9970230670724609,3.120790300853166,95.88218663207438
DALLAS,115,2179,2069,109319,113567,1.9186911690896122,1.8218320462810498,96.25947678462934
DAWSON,82,420,3,6366,6789,6.18647812638091,0.04418912947414936,93.76933274414495
DE WITT,30,713,38,10643,11394,6.257679480428295,0.3335088643145515,93.40881165525715
DEAF SMITH,86,521,15,8242,8778,5.935292777398041,0.17088174982911825,93.89382547277285
DELTA,62,390,9,3721,4120,9.466019417475728,0.2184466019417476,90.31553398058253
DENTON,0,0,0,5,5,0.0,0.0,100.0
DENTON,57,3964,1305,129931,135200,2.9319526627218937,0.9652366863905325,96.10281065088758
DENTON,63,3563,1518,126652,131733,2.7047133216430206,1.1523308510396029,96.14295582731738
DENTON,64,3375,1263,87771,92409,3.6522416647729115,1.3667499918839074,94.98100834334318
DENTON,65,4378,1541,146022,151941,2.88138158890622,1.0142094628836191,96.10440894821016
DENTON,106,3968,1304,146793,152065,2.6094104494788413,0.8575280307763127,96.53306151974485
DICKENS,83,148,5,1286,1439,10.284920083391244,0.34746351633078526,89.36761640027797
DIMMIT,80,13,938,5767,6718,0.1935099732063114,13.962488835963086,85.8440011908306
DONLEY,88,75,7,2338,2420,3.0991735537190084,0.2892561983471074,96.61157024793388
DUVAL,31,13,919,7118,8050,0.16149068322981366,11.416149068322982,88.4223602484472
EASTLAND,68,886,22,11656,12564,7.051894301177969,0.17510347023241007,92.77300222858962
ECTOR,81,2731,287,83771,86789,3.14671214093952,0.3306870686377306,96.52260079042276
EDWARDS,53,139,5,1357,1501,9.260493004663557,0.3331112591605596,90.40639573617588
EL PASO,0,0,0,1,1,0.0,0.0,100.0
EL PASO,74,100,298,29061,29459,0.3394548355341322,1.011575409891714,98.64896975457415
EL PASO,75,305,1331,113024,114660,0.26600383743240885,1.1608233036804465,98.57317285888715
EL PASO,77,385,3523,116186,120094,0.32058221060169534,2.9335353972721365,96.74588239212618
EL PASO,78,1393,3435,130462,135290,1.029640032522729,2.5389903170966073,96.43136965038066
EL PASO,79,934,3866,119390,124190,0.7520734358644013,3.112972058941944,96.13495450519366
ELLIS,10,5639,1464,140643,147746,3.8166853924979356,0.9908897702814289,95.19242483722064
ERATH,59,2147,101,23800,26048,8.24247542997543,0.38774570024570026,91.36977886977887
FALLS,13,364,75,10154,10593,3.436231473614651,0.7080147267063155,95.85575379967904
FANNIN,62,1485,96,23402,24983,5.944041948524998,0.38426129768242406,93.67169675379257
FAYETTE,85,1801,141,16456,18398,9.789107511686053,0.7663876508316121,89.44450483748233
FISHER,69,117,19,2586,2722,4.298310066127847,0.698016164584864,95.00367376928729
FLOYD,83,354,5,3308,3667,9.65366784837742,0.13635124079629124,90.20998091082629
FOARD,69,52,7,749,808,6.435643564356436,0.8663366336633664,92.69801980198021
FORT BEND,26,4351,1509,121858,127718,3.406724189229396,1.1815092625941528,95.41176654817644
FORT BEND,27,1635,5416,130829,137880,1.1858137510879025,3.9280533797505077,94.88613286916159
FORT BEND,28,5050,1871,139379,146300,3.4518113465481886,1.2788790157211212,95.26930963773069
FORT BEND,76,2448,2205,119056,123709,1.9788374330081078,1.7824087172315677,96.23875384976033
FORT BEND,85,578,375,19202,20155,2.8677747457206646,1.8605805011163483,95.27164475316299
FRANKLIN,62,557,34,7044,7635,7.295350360183366,0.4453176162409954,92.25933202357564
FREESTONE,13,897,85,12470,13452,6.668153434433541,0.631876300921796,92.69997026464466
FRIO,80,83,707,8755,9545,0.8695652173913043,7.407019381875328,91.72341540073336
GAINES,88,583,11,9907,10501,5.551852204551948,0.1047519283877726,94.34339586706028
GALVESTON,0,3,0,25,28,10.714285714285714,0.0,89.28571428571429
GALVESTON,23,3046,1379,93788,98213,3.1014224186207526,1.4040911081017788,95.49448647327748
GALVESTON,24,5818,1522,140794,148134,3.92752507864501,1.0274481212955837,95.0450268000594
GARZA,83,227,6,2420,2653,8.556351300414624,0.22615906520919715,91.21748963437618
GILLESPIE,19,2280,252,19399,21931,10.39624276138799,1.149058410469199,88.45469882814281
GLASSCOCK,72,146,2,696,844,17.298578199052134,0.23696682464454977,82.46445497630332
GOLIAD,30,616,33,5199,5848,10.533515731874145,0.5642954856361149,88.90218878248974
GONZALES,44,962,42,12201,13205,7.285119273002651,0.31806134040136314,92.39681938659598
GRAY,88,922,6,11426,12354,7.4631698235389345,0.04856726566294317,92.48826291079813
GRAYSON,62,4743,502,95136,100381,4.724997758539963,0.5000946394237953,94.77490760203624
GREGG,7,3195,789,72471,76455,4.178928781636257,1.0319795958406905,94.78909162252305
GRIMES,12,1057,109,19995,21161,4.995038041680449,0.5150985303152025,94.48986342800436
GUADALUPE,44,4587,1218,125178,130983,3.5019811731293373,0.9298916653306155,95.56812716154005
HALE,88,846,43,17411,18300,4.6229508196721305,0.23497267759562843,95.14207650273224
HALL,88,78,6,1807,1891,4.1248016922263355,0.31729243786356426,95.5579058699101
HAMILTON,59,561,25,5694,6280,8.93312101910828,0.3980891719745223,90.6687898089172
HANSFORD,87,375,2,2633,3010,12.458471760797343,0.0664451827242525,87.47508305647841
HARDEMAN,69,88,5,2302,2395,3.674321503131524,0.20876826722338201,96.11691022964509
HARDIN,18,1383,76,41782,43241,3.198353414583382,0.17575911750422052,96.62588746791239
