COUNTY,NEWHD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
TARRANT,92,1758,1300,90624,93682,1.876561132341325,1.3876731922888068,96.73576567536986
TARRANT,93,2468,984,135211,138663,1.7798547557747921,0.709634148979901,97.5105110952453
TARRANT,94,4877,2217,113792,120886,4.034379498039476,1.8339592674089638,94.13166123455156
TARRANT,95,864,3372,103240,107476,0.803900405671964,3.1374446388030814,96.05865495552496
TARRANT,96,3681,2177,125154,131012,2.8096662901108296,1.6616798461209659,95.52865386376821
TARRANT,97,4749,2210,127529,134488,3.5311700672178934,1.6432692879662127,94.8255606448159
TARRANT,98,6745,1643,131159,139547,4.8334969580141465,1.1773810974080419,93.98912194457782
TARRANT,99,3791,1289,120447,125527,3.0200673958590585,1.0268707130736814,95.95306189106726
TARRANT,101,1033,2269,106436,109738,0.9413329931290894,2.0676520439592485,96.99101496291166
TAYLOR,71,3402,306,86465,90173,3.772747940070753,0.33934769831324235,95.88790436161601
TERRELL,74,26,23,577,626,4.15335463258786,3.6741214057507987,92.17252396166134
TERRY,83,473,12,5936,6421,7.366453823391995,0.18688677776047344,92.44665939884753
THROCKMORTON,68,112,2,1109,1223,9.157808667211773,0.1635322976287817,90.67865903515944
TITUS,5,1326,122,16638,18086,7.3316377308415355,0.6745549043459029,91.99380736481257
TOM GREEN,72,3062,308,69429,72799,4.20610173216665,0.42308273465294854,95.37081553318039
TRAVIS,0,0,1,50,51,0.0,1.9607843137254901,98.0392156862745
TRAVIS,19,2089,1071,59806,62966,3.317663500937014,1.7009179557221359,94.98141854334085
TRAVIS,46,760,4672,140593,146025,0.5204588255435713,3.1994521486046907,96.28008902585174
TRAVIS,47,2855,5111,142160,150126,1.901735875198167,3.4044735755298885,94.69379054927195
TRAVIS,48,2251,7879,146033,156163,1.441442595237028,5.045369261604861,93.5131881431581
TRAVIS,49,843,7857,157976,166676,0.5057716767861,4.713936019582903,94.780292303631
TRAVIS,50,667,3574,113140,117381,0.5682350635963231,3.044785783048364,96.38697915335531
TRAVIS,51,302,3265,125418,128985,0.2341357522192503,2.5313020893902394,97.23456215839052
TRINITY,9,1091,72,11160,12323,8.853363628986449,0.5842733100705997,90.56236306094296
TYLER,9,1117,51,13728,14896,7.498657357679914,0.34237379162191195,92.15896885069817
UPSHUR,5,1598,133,28757,30488,5.241406454998688,0.43623720808186833,94.32235633691944
UPTON,53,261,3,1846,2110,12.369668246445498,0.14218009478672985,87.48815165876778
UVALDE,80,465,328,17182,17975,2.58692628650904,1.8247566063977747,95.58831710709319
VAL VERDE,74,438,619,29105,30162,1.4521583449373383,2.052251176977654,96.495590478085
VAN ZANDT,2,2412,104,39412,41928,5.752718946765884,0.24804426636138144,93.99923678687273
VICTORIA,30,2662,385,55170,58217,4.572547537660821,0.661318858752598,94.76613360358658
WALKER,12,2436,279,36355,39070,6.234962887125672,0.714102892244689,93.05093422062964
WALLER,85,1451,331,42332,44114,3.289205240966587,0.7503286938386907,95.96046606519472
WARD,81,355,36,6670,7061,5.02761648491715,0.5098427984704716,94.46254071661238
WASHINGTON,12,2297,268,23296,25861,8.882100460152353,1.0363095007926995,90.08159003905494
WEBB,0,0,0,125,125,0.0,0.0,100.0
WEBB,42,211,5268,100534,106013,0.1990321941648666,4.969201890334205,94.83176591550094
WEBB,80,30,1582,40867,42479,0.07062313142964759,3.724193130723416,96.20518373784694
WHARTON,85,1954,195,24318,26467,7.382778554426267,0.7367665394642384,91.88045490610949
WHEELER,88,462,4,2954,3420,13.508771929824562,0.11695906432748539,86.37426900584795
WICHITA,69,3630,369,76113,80112,4.5311563810665065,0.4606051527860994,95.0082384661474
WILBARGER,69,342,34,7758,8134,4.204573395623309,0.4179985247110892,95.3774280796656
WILLACY,37,36,445,11208,11689,0.30798186329027294,3.806998032338096,95.88502010437163
WILLIAMSON,20,6110,2709,150936,159755,3.8246064285937837,1.6957215736596662,94.47967199774655
WILLIAMSON,52,3996,2057,159635,165688,2.411761865675245,1.2414900294529476,96.3467481048718
WILLIAMSON,136,2068,2453,116944,121465,1.7025480591116784,2.0195117935207674,96.27794014736756
WILSON,31,1853,232,37097,39182,4.72921239344597,0.5921086213057016,94.67867898524833
WINKLER,81,203,3,3873,4079,4.976709977935768,0.07354743809757293,94.94974258396665
WISE,64,2964,170,52850,55984,5.294369819948557,0.3036581880537296,94.40197199199771
WOOD,5,2397,166,33105,35668,6.720309521139396,0.46540316249859814,92.81428731636201
YOAKUM,88,463,1,3840,4304,10.757434944237918,0.023234200743494422,89.21933085501858
YOUNG,68,994,34,11401,12429,7.997425376136455,0.2735537855016493,91.72902083836189
ZAPATA,31,10,1209,6988,8207,0.12184720360667724,14.731326916047276,85.14682588034604
ZAVALA,80,5,864,6957,7826,0.0638895987733197,11.040122668029644,88.89598773319703
