COUNTY,Democrat,Republican,Swing,Unknown,All
MONTAGUE,29,1096,29,14530,15684
MONTGOMERY,2260,19394,727,433180,455561
MOORE,5,681,4,9458,10148
MORRIS,69,352,25,8555,9001
MOTLEY,1,116,0,736,853
NACOGDOCHES,333,2580,173,36985,40071
NAVARRO,160,1828,68,30912,32968
NEWTON,29,601,55,8821,9506
NOLAN,21,436,14,8025,8496
NUECES,3112,4011,463,211640,219226
OCHILTREE,4,463,6,4744,5217
OLDHAM,1,146,1,1196,1344
ORANGE,250,3117,119,52858,56344
PALO PINTO,77,1363,65,18891,20396
PANOLA,90,1411,40,16366,17907
PARKER,487,7326,249,119787,127849
PARMER,3,196,1,4370,4570
PECOS,127,311,115,7793,8346
POLK,135,2268,64,42081,44548
POTTER,323,2625,129,56754,59831
PRESIDIO,519,10,54,3862,4445
RAINS,42,611,17,8756,9426
RANDALL,347,5883,210,93921,100361
REAGAN,1,151,3,1654,1809
REAL,15,321,12,2356,2704
RED RIVER,63,468,24,8219,8774
REEVES,565,20,47,7225,7857
REFUGIO,50,246,38,4619,4953
ROBERTS,0,126,0,597,723
ROBERTSON,101,1066,78,11371,12616
ROCKWALL,713,4107,251,83177,88248
RUNNELS,12,552,9,6256,6829
RUSK,203,2013,73,32138,34427
SABINE,36,688,23,7732,8479
SAN AUGUSTINE,49,358,12,5646,6065
SAN JACINTO,102,1603,28,18793,20526
SAN PATRICIO,441,1306,112,43513,45372
SAN SABA,6,492,5,3300,3803
SCHLEICHER,23,169,12,1532,1736
SCURRY,20,719,13,8648,9400
SHACKELFORD,3,231,4,2205,2443
SHELBY,41,1089,36,15229,16395
SHERMAN,1,149,1,1301,1452
SMITH,1656,8968,300,151278,162202
SOMERVELL,28,757,27,6623,7435
STARR,1033,28,264,35146,36471
STEPHENS,5,580,5,5319,5909
STERLING,2,132,1,739,874
STONEWALL,5,59,21,872,957
SUTTON,11,344,11,1988,2354
SWISHER,11,290,14,3594,3909
TARRANT,20227,34734,3245,1254366,1312572
TAYLOR,306,3402,193,86272,90173
TERRELL,23,26,38,539,626
TERRY,12,473,13,5923,6421
THROCKMORTON,2,112,0,1109,1223
TITUS,122,1326,59,16579,18086
TOM GREEN,308,3062,135,69294,72799
TRAVIS,33430,9767,3648,881528,928373
TRINITY,72,1091,41,11119,12323
TYLER,51,1117,29,13699,14896
UPSHUR,133,1598,58,28699,30488
UPTON,3,261,14,1832,2110
UVALDE,328,465,274,16908,17975
VAL VERDE,619,438,244,28861,30162
VAN ZANDT,104,2412,44,39368,41928
VICTORIA,385,2662,90,55080,58217
WALKER,279,2436,136,36219,39070
WALLER,331,1451,47,42285,44114
WARD,36,355,105,6565,7061
WASHINGTON,268,2297,88,23208,25861
WEBB,6850,241,686,140840,148617
WHARTON,195,1954,43,24275,26467
WHEELER,4,462,4,2950,3420
WICHITA,369,3630,115,75998,80112
WILBARGER,34,342,13,7745,8134
WILLACY,445,36,66,11142,11689
WILLIAMSON,7219,12174,1521,425994,446908
WILSON,232,1853,85,37012,39182
WINKLER,3,203,4,3869,4079
WISE,170,2964,91,52759,55984
WOOD,166,2397,54,33051,35668
YOAKUM,1,463,10,3830,4304
YOUNG,34,994,16,11385,12429
ZAPATA,1209,10,31,6957,8207
ZAVALA,864,5,21,6936,7826
All,308646,544740,46991,17764572,18664949
