COUNTY,2026_SD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
OCHILTREE,19.0,463,4,4750,5217,8.874832279087599,0.07667241709794902,91.04849530381445
OLDHAM,28.0,83,1,744,828,10.024154589371982,0.12077294685990338,89.85507246376811
OLDHAM,30.0,63,0,453,516,12.209302325581394,0.0,87.79069767441861
ORANGE,3.0,3117,250,52977,56344,5.5320885986085475,0.4437029674854465,94.02420843390601
PALO PINTO,5.0,1363,77,18956,20396,6.682682878995881,0.3775250049029222,92.93979211610119
PANOLA,27.0,1411,90,16406,17907,7.879600156363434,0.5025967498743509,91.61780309376222
PARKER,4.0,136,7,3204,3347,4.063340304750523,0.2091425156856887,95.72751717956379
PARKER,6.0,1007,67,18248,19322,5.211675809957561,0.34675499430700757,94.44156919573543
PARKER,7.0,1618,85,22672,24375,6.637948717948718,0.3487179487179487,93.01333333333334
PARKER,11.0,351,25,4303,4679,7.501602906603975,0.5343022013250694,91.96409489207096
PARKER,13.0,1208,85,25010,26303,4.592632019161312,0.3231570543284036,95.08421092651028
PARKER,15.0,1969,112,29224,31305,6.28973007506788,0.35777032422935634,93.35249960070277
PARKER,17.0,1037,106,17374,18517,5.6002592212561435,0.5724469406491333,93.82729383809473
PARMER,18.0,196,3,4371,4570,4.288840262582057,0.06564551422319474,95.64551422319475
PECOS,3.0,311,127,7908,8346,3.726335969326623,1.5216870357057273,94.75197699496765
POLK,29.0,2268,135,42130,44533,5.092852491410864,0.303145981631599,94.60400152695753
POTTER,6.0,514,55,10497,11066,4.644858123983372,0.4970178926441352,94.8581239833725
POTTER,7.0,303,48,6620,6971,4.346578683115766,0.6885669200975469,94.96485439678669
POTTER,13.0,109,60,11971,12140,0.8978583196046129,0.4942339373970346,98.60790774299836
POTTER,15.0,1441,150,25831,27422,5.2549048209466855,0.547006053533659,94.19808912551966
POTTER,17.0,258,10,1964,2232,11.559139784946236,0.4480286738351254,87.99283154121864
PRESIDIO,28.0,10,519,3915,4444,0.22502250225022502,11.678667866786679,88.0963096309631
RAINS,6.0,298,13,4899,5210,5.719769673704414,0.24952015355086374,94.03071017274472
RAINS,7.0,91,9,880,980,9.285714285714286,0.9183673469387756,89.79591836734694
RAINS,11.0,104,9,1140,1253,8.300079808459698,0.7182761372705506,90.98164405426975
RAINS,15.0,118,11,1847,1976,5.97165991902834,0.5566801619433198,93.47165991902834
RANDALL,31.0,5883,347,94131,100361,5.861838762068931,0.34575183587250025,93.79240940205857
REAGAN,31.0,151,1,1657,1809,8.347153123272525,0.055279159756771695,91.5975677169707
REAL,5.0,321,15,2368,2704,11.871301775147929,0.5547337278106509,87.57396449704143
RED RIVER,1.0,468,63,8242,8773,5.33454918499943,0.7181123902883848,93.94733842471219
REEVES,22.0,20,565,7272,7857,0.2545500827287769,7.1910398370879465,92.55441008018327
REFUGIO,18.0,246,50,4657,4953,4.966686856450636,1.0094891984655765,94.02382394508379
ROBERTS,31.0,126,0,597,723,17.42738589211618,0.0,82.57261410788381
ROBERTSON,18.0,1066,101,11449,12616,8.449587824984148,0.800570703868104,90.74984147114775
ROCKWALL,2.0,4107,713,83428,88248,4.653929834103889,0.8079503218203246,94.53811984407578
RUNNELS,21.0,552,12,6264,6828,8.084358523725834,0.17574692442882248,91.73989455184535
RUSK,1.0,2009,203,32185,34397,5.840625635956624,0.5901677471872547,93.56920661685612
SABINE,3.0,688,36,7755,8479,8.114164406179974,0.4245783700908126,91.4612572237292
SAN AUGUSTINE,12.0,358,49,5657,6064,5.903693931398417,0.8080474934036939,93.28825857519789
SAN JACINTO,27.0,1603,102,18821,20526,7.809607327292214,0.4969307220111079,91.69346195069667
SAN PATRICIO,29.0,1306,441,43624,45371,2.8784906658438207,0.9719865112075996,96.14952282294857
SAN SABA,2.0,492,6,3305,3803,12.93715487772811,0.15777018143570865,86.90507494083619
SCHLEICHER,30.0,169,23,1544,1736,9.735023041474653,1.3248847926267282,88.94009216589862
SCURRY,30.0,719,20,8661,9400,7.648936170212766,0.2127659574468085,92.13829787234043
SHACKELFORD,28.0,219,3,1906,2128,10.291353383458647,0.14097744360902253,89.56766917293233
SHACKELFORD,30.0,12,0,302,314,3.821656050955414,0.0,96.17834394904459
SHELBY,3.0,1089,41,15260,16390,6.644295302013423,0.25015253203172666,93.10555216595485
SHERMAN,28.0,77,0,532,609,12.643678160919542,0.0,87.35632183908046
SHERMAN,30.0,72,1,770,843,8.540925266903916,0.11862396204033215,91.34045077105574
SMITH,22.0,8968,1656,151573,162197,5.529078836230016,1.020980659321689,93.44994050444829
SOMERVELL,20.0,757,28,6650,7435,10.181573638197714,0.3765971755211836,89.44182918628111
STARR,20.0,22,798,22144,22964,0.09580212506531963,3.475004354642049,96.42919352029263
STARR,27.0,6,234,13197,13437,0.044652824291136414,1.7414601473543203,98.21388702835453
STEPHENS,18.0,580,5,5322,5907,9.818858980870154,0.08464533604198408,90.09649568308787
STERLING,21.0,132,2,740,874,15.102974828375288,0.2288329519450801,84.66819221967964
STONEWALL,29.0,59,5,893,957,6.165099268547544,0.522466039707419,93.31243469174504
SUTTON,28.0,344,11,1999,2354,14.613423959218352,0.46728971962616817,84.91928632115548
SWISHER,5.0,290,11,3608,3909,7.418777180864672,0.28140189306728064,92.29982092606804
TARRANT,9.0,17853,6690,596205,620748,2.8760463183127456,1.07773202652284,96.04622165516442
TARRANT,10.0,8568,8071,345015,361654,2.3691152316855337,2.231691063834494,95.39919370447997
TARRANT,12.0,4194,1106,68583,73883,5.67654264174438,1.4969614119621564,92.82649594629346
TARRANT,22.0,3751,3216,197455,204422,1.8349297042392698,1.573216190038254,96.59185410572248
TARRANT,23.0,368,1144,50353,51865,0.7095343680709534,2.2057264050901377,97.0847392268389
TAYLOR,4.0,93,16,2732,2841,3.2734952481520594,0.5631819781766984,96.16332277367124
TAYLOR,6.0,1115,120,34547,35782,3.116091889776983,0.33536414957241073,96.5485439606506
TAYLOR,7.0,298,20,5235,5553,5.366468575544751,0.3601656762110571,94.2733657482442
TAYLOR,11.0,503,25,9319,9847,5.108154767949629,0.2538844318066416,94.63796080024373
TAYLOR,13.0,893,90,21073,22056,4.048784911135292,0.40805223068552776,95.54316285817917
TAYLOR,15.0,420,31,11041,11492,3.6547163243995824,0.2697528715628263,96.07553080403758
TAYLOR,17.0,80,4,2518,2602,3.074558032282859,0.15372790161414296,96.771714066103
TERRELL,3.0,26,23,577,626,4.15335463258786,3.6741214057507987,92.17252396166134
TERRY,1.0,473,12,5934,6419,7.368749026328089,0.18694500701043776,92.44430596666147
THROCKMORTON,28.0,112,2,1099,1213,9.23330585325639,0.16488046166529266,90.60181368507831
TITUS,29.0,1326,122,16636,18084,7.332448573324486,0.6746295067462951,91.99292191992922
TOM GREEN,28.0,3062,308,69429,72799,4.20610173216665,0.42308273465294854,95.37081553318039
TRAVIS,4.0,254,1110,29422,30786,0.8250503475605795,3.6055349834340285,95.5694146690054
TRAVIS,6.0,2905,9355,227931,240191,1.2094541427447323,3.8948170414378556,94.89572881581742
TRAVIS,7.0,544,3011,97910,101465,0.5361454688808949,2.967525747794806,96.4963287833243
TRAVIS,11.0,693,2403,63673,66769,1.0379068130419804,3.5989755724962187,95.3631176144618
TRAVIS,13.0,1851,7038,185160,194049,0.9538827821838813,3.6269189740735586,95.41919824374257
TRAVIS,15.0,2815,7745,195327,205887,1.367254853390452,3.7617722342838547,94.8709729123257
TRAVIS,17.0,690,2696,80962,84348,0.8180395504339166,3.1962820695215064,95.98567838004458
TRAVIS,18.0,15,71,4741,4827,0.3107520198881293,1.4708928941371453,98.21835508597474
TRINITY,1.0,1091,72,11160,12323,8.853363628986449,0.5842733100705997,90.56236306094296
TYLER,3.0,1117,51,13716,14884,7.50470303681806,0.34264982531577537,92.15264713786617
UPSHUR,3.0,1598,133,28755,30486,5.241750311618447,0.4362658269369547,94.32198386144461
UPTON,29.0,261,3,1846,2110,12.369668246445498,0.14218009478672985,87.48815165876778
UVALDE,3.0,465,328,17179,17972,2.5873581126196306,1.8250612063209437,95.58758068105942
VAL VERDE,29.0,438,619,29096,30153,1.4525917819122476,2.052863728318907,96.49454448976884
VAN ZANDT,2.0,2412,104,39408,41924,5.753267817956302,0.24806793244919376,93.9986642495945
VICTORIA,22.0,2662,385,55170,58217,4.572547537660821,0.661318858752598,94.76613360358658
WALKER,30.0,2436,279,36333,39048,6.238475722188077,0.7145052243392748,93.04701905347265
WALLER,17.0,410,71,14883,15364,2.668575891694871,0.4621192397813069,96.86930486852383
WALLER,18.0,1041,260,27449,28750,3.620869565217391,0.9043478260869564,95.47478260869565
WARD,31.0,355,36,6670,7061,5.02761648491715,0.5098427984704716,94.46254071661238
WASHINGTON,6.0,1165,110,9997,11272,10.335344215755855,0.9758694109297373,88.68878637331441
WASHINGTON,11.0,156,21,2123,2300,6.782608695652175,0.9130434782608696,92.30434782608695
WASHINGTON,13.0,635,110,7484,8229,7.716611982014826,1.3367359338923321,90.94665208409283
WASHINGTON,15.0,196,16,2392,2604,7.526881720430108,0.6144393241167435,91.85867895545314
WASHINGTON,17.0,145,11,1300,1456,9.958791208791208,0.7554945054945055,89.28571428571429
WEBB,21.0,241,6850,141401,148492,0.16229830563262668,4.613043126902459,95.22465856746491
WHARTON,17.0,1954,195,24314,26463,7.383894494199448,0.7368779049994332,91.87922760080112
WHEELER,24.0,462,4,2954,3420,13.508771929824562,0.11695906432748539,86.37426900584795
WICHITA,28.0,2356,188,45931,48475,4.8602372356884995,0.38782877772047447,94.75193398659103
WICHITA,30.0,1274,181,30180,31635,4.027185079816658,0.5721510984668879,95.40066382171646
WILBARGER,28.0,342,34,7758,8134,4.204573395623309,0.4179985247110892,95.3774280796656
WILLACY,27.0,36,445,11206,11687,0.30803456832377857,3.807649525113374,95.88431590656285
WILLIAMSON,4.0,58,52,2625,2735,2.1206581352833638,1.9012797074954297,95.97806215722122
WILLIAMSON,6.0,4564,2266,115251,122081,3.738501486717835,1.8561446908200292,94.40535382246213
WILLIAMSON,7.0,1087,696,43199,44982,2.416522164421324,1.5472855808990262,96.03619225467965
WILLIAMSON,11.0,933,345,26453,27731,3.3644657603404133,1.2440950560744295,95.39143918358516
WILLIAMSON,13.0,2927,1986,116287,121200,2.415016501650165,1.6386138613861387,95.9463696369637
WILLIAMSON,15.0,1445,1241,82775,85461,1.690829735200852,1.452124360819555,96.85704590397958
WILLIAMSON,17.0,1118,583,37086,38787,2.882409054580143,1.5030809291773017,95.61451001624256
WILLIAMSON,18.0,42,50,3839,3931,1.0684304248282879,1.271940981938438,97.65962859323326
WILSON,21.0,1853,232,37097,39182,4.72921239344597,0.5921086213057016,94.67867898524833
WINKLER,17.0,203,3,3873,4079,4.976709977935768,0.07354743809757293,94.94974258396665
WISE,29.0,2964,170,52850,55984,5.294369819948557,0.3036581880537296,94.40197199199771
WOOD,27.0,2397,166,33092,35655,6.722759781236853,0.4655728509325481,92.8116673678306
YOAKUM,5.0,463,1,3840,4304,10.757434944237918,0.023234200743494422,89.21933085501858
YOUNG,10.0,994,34,11379,12407,8.011606351253326,0.27403884903683406,91.71435479970984
ZAPATA,21.0,10,1209,6988,8207,0.12184720360667724,14.731326916047276,85.14682588034604
ZAVALA,18.0,5,864,6956,7825,0.06389776357827476,11.041533546325878,88.89456869009584
