COUNTY,2026_SD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
COLLIN,11.0,977,478,31222,32677,2.9898705511521864,1.4628025828564433,95.54732686599137
COLLIN,13.0,3845,1694,130346,135885,2.8295985576038563,1.2466423814254701,95.92375906097067
COLLIN,15.0,7197,2784,215592,225573,3.190541421180727,1.234190262132436,95.57526831668683
COLLIN,17.0,1223,595,39921,41739,2.930113323270802,1.4255252880998586,95.64436138862933
COLLIN,18.0,397,142,8699,9238,4.297466984195713,1.5371292487551418,94.16540376704916
COLLINGSWORTH,18.0,186,3,1700,1889,9.846479618845951,0.15881418740074113,89.9947061937533
COLORADO,28.0,1110,88,13625,14823,7.48836267961951,0.5936719962220873,91.9179653241584
COMAL,25.0,6910,1310,135797,144017,4.798044675281391,0.9096148371372823,94.29234048758133
COMANCHE,24.0,733,28,9296,10057,7.288455801929004,0.27841304563985286,92.43313115243114
CONCHO,28.0,141,6,1653,1800,7.833333333333334,0.33333333333333337,91.83333333333333
COOKE,30.0,1547,96,28617,30260,5.112359550561798,0.3172504957038995,94.5703899537343
CORYELL,4.0,28,1,418,447,6.263982102908278,0.22371364653243847,93.51230425055928
CORYELL,6.0,1175,152,29337,30664,3.831854943908166,0.4956952778502478,95.67244977824159
CORYELL,7.0,55,0,747,802,6.857855361596011,0.0,93.14214463840399
CORYELL,11.0,65,0,659,724,8.977900552486188,0.0,91.02209944751381
CORYELL,13.0,447,68,13001,13516,3.3071914767682746,0.5031074282332051,96.18970109499853
CORYELL,17.0,46,1,908,955,4.81675392670157,0.10471204188481677,95.07853403141361
COTTLE,6.0,58,3,445,506,11.462450592885375,0.592885375494071,87.94466403162056
COTTLE,13.0,72,1,416,489,14.723926380368098,0.2044989775051125,85.07157464212679
CRANE,3.0,237,2,2438,2677,8.853193873739261,0.0747104968248039,91.07209562943594
CROCKETT,3.0,72,36,2188,2296,3.1358885017421603,1.5679442508710801,95.29616724738676
CROSBY,29.0,177,8,3451,3636,4.867986798679868,0.22002200220022,94.91199119911991
CULBERSON,29.0,4,296,1404,1704,0.2347417840375587,17.370892018779344,82.3943661971831
DALLAM,5.0,116,2,2751,2869,4.043220634367375,0.06971070059254096,95.88706866504009
DALLAS,2.0,5510,5159,241588,252257,2.1842803172954564,2.0451365076093033,95.77058317509524
DALLAS,12.0,6285,5207,210290,221782,2.833863884354907,2.3478009937686557,94.81833512187644
DALLAS,16.0,6726,10370,460482,477578,1.4083563313217944,2.171373053197593,96.4202706154806
DALLAS,23.0,3238,20828,496099,520165,0.6224947853085079,4.004114079186412,95.37339113550509
DAWSON,24.0,420,3,6366,6789,6.18647812638091,0.04418912947414936,93.76933274414495
