COUNTY,2026_HD,Democrat,Republican,Swing,Unknown,All
CONCHO,138.0,1,7,0,117,125
CONCHO,140.0,0,14,0,241,255
CONCHO,141.0,0,76,0,556,632
CONCHO,143.0,1,6,0,107,114
CONCHO,145.0,1,17,0,111,129
COOKE,68.0,96,1547,43,28574,30260
CORYELL,59.0,222,1816,71,44999,47108
COTTLE,69.0,4,130,2,859,995
CRANE,5.0,2,237,7,2431,2677
CROCKETT,60.0,36,72,135,2053,2296
CROSBY,12.0,5,114,4,1844,1967
CROSBY,14.0,3,63,0,1603,1669
CULBERSON,74.0,296,4,17,1387,1704
DALLAM,68.0,2,116,0,2751,2869
DALLAS,100.0,2808,251,76,87119,90254
DALLAS,102.0,2181,1514,209,89908,93812
DALLAS,103.0,2242,681,162,91369,94454
DALLAS,104.0,1453,667,94,87069,89283
DALLAS,105.0,1051,1326,122,80797,83296
DALLAS,107.0,1291,1077,81,81358,83807
DALLAS,108.0,4749,5170,909,136248,147076
DALLAS,109.0,5653,834,139,110179,116805
DALLAS,110.0,2311,183,28,84939,87461
DALLAS,111.0,6395,957,152,104889,112393
DALLAS,112.0,3296,3936,448,124143,131823
DALLAS,113.0,2312,1785,170,103226,107493
DALLAS,114.0,3753,1199,310,114996,120258
DALLAS,115.0,2069,2179,329,108990,113567
DAWSON,5.0,1,171,5,1748,1925
DAWSON,6.0,2,249,8,4605,4864
DE WITT,13.0,38,713,22,10617,11390
DEAF SMITH,31.0,15,521,19,8222,8777
DELTA,13.0,9,390,10,3711,4120
DENTON,57.0,1305,3964,275,129656,135200
DENTON,63.0,1518,3563,335,126317,131733
DENTON,64.0,1263,3375,267,87504,92409
DENTON,65.0,1541,4378,389,145633,151941
DENTON,106.0,1304,3968,323,146470,152065
DENTON,119.0,0,0,0,1,1
DICKENS,19.0,5,148,3,1282,1438
DIMMIT,64.0,933,13,34,5686,6666
DONLEY,71.0,7,75,3,2325,2410
DUVAL,21.0,919,13,44,7074,8050
EASTLAND,7.0,22,886,11,11645,12564
ECTOR,128.0,1,33,0,2148,2182
ECTOR,129.0,5,50,2,4171,4228
ECTOR,130.0,14,77,4,4822,4917
ECTOR,131.0,27,14,2,2235,2278
ECTOR,133.0,23,161,6,4736,4926
ECTOR,134.0,11,204,10,3156,3381
ECTOR,135.0,2,9,0,699,710
ECTOR,137.0,6,32,2,1942,1982
ECTOR,138.0,5,95,5,4491,4596
ECTOR,139.0,0,12,0,221,233
ECTOR,140.0,9,21,3,2288,2321
ECTOR,141.0,28,384,13,11292,11717
ECTOR,142.0,34,522,19,12294,12869
ECTOR,143.0,17,225,7,6930,7179
ECTOR,144.0,26,125,9,5625,5785
ECTOR,145.0,30,581,14,7102,7727
ECTOR,146.0,35,8,5,2931,2979
ECTOR,147.0,4,38,4,990,1036
ECTOR,148.0,1,30,2,1096,1129
