new_district,old_district,party,voter_count
7,2,Democrat,140
7,2,Republican,530
7,2,Swing,36
7,2,Unknown,11788
7,3,Democrat,2
7,3,Republican,99
7,3,Swing,6
7,3,Unknown,1416
7,4,Democrat,73
7,4,Republican,788
7,4,Swing,24
7,4,Unknown,17350
7,5,Democrat,496
7,5,Republican,842
7,5,Swing,99
7,5,Unknown,33568
7,7,Democrat,5813
7,7,Republican,14526
7,7,Swing,815
7,7,Unknown,561632
7,8,Democrat,498
7,8,Republican,1223
7,8,Swing,167
7,8,Unknown,37558
7,10,Democrat,20
7,10,Republican,448
7,10,Swing,10
7,10,Unknown,5869
7,14,Democrat,2451
7,14,Republican,341
7,14,Swing,174
7,14,Unknown,66845
7,18,Democrat,21
7,18,Republican,220
7,18,Swing,3
7,18,Unknown,4617
7,20,Democrat,35
7,20,Republican,76
7,20,Swing,7
7,20,Unknown,1784
7,21,Democrat,775
7,21,Republican,414
7,21,Swing,82
7,21,Unknown,37879
7,22,Democrat,77
7,22,Republican,180
7,22,Swing,8
7,22,Unknown,5747
7,24,Democrat,200
7,24,Republican,300
7,24,Swing,50
7,24,Unknown,10229
7,25,Democrat,428
7,25,Republican,545
7,25,Swing,86
7,25,Unknown,19594
7,27,Democrat,588
7,27,Republican,112
7,27,Swing,94
7,27,Unknown,26172
7,28,Democrat,92
7,28,Republican,1278
7,28,Swing,62
7,28,Unknown,24273
7,29,Democrat,742
7,29,Republican,152
7,29,Swing,67
7,29,Unknown,38790
7,30,Democrat,185
7,30,Republican,1440
7,30,Swing,69
7,30,Unknown,30085
7,31,Democrat,69
7,31,Republican,438
7,31,Swing,21
7,31,Unknown,13425
8,8,Democrat,269
8,8,Republican,2841
8,8,Swing,116
8,8,Unknown,69802
8,11,Democrat,2672
8,11,Republican,5069
8,11,Swing,286
8,11,Unknown,152886
8,17,Democrat,506
8,17,Republican,4277
8,17,Swing,165
8,17,Unknown,63563
8,20,Democrat,2152
8,20,Republican,2469
8,20,Swing,294
8,20,Unknown,135169
8,24,Democrat,10
8,24,Republican,452
8,24,Swing,10
8,24,Unknown,2854
8,27,Democrat,750
8,27,Republican,1376
8,27,Swing,223
8,27,Unknown,56346
9,9,Democrat,6690
9,9,Republican,17853
9,9,Swing,1475
9,9,Unknown,594730
10,10,Democrat,8108
10,10,Republican,10225
10,10,Swing,925
10,10,Unknown,367980
10,30,Democrat,34
10,30,Republican,994
10,30,Swing,16
10,30,Unknown,11363
11,2,Democrat,130
11,2,Republican,455
11,2,Swing,33
11,2,Unknown,10726
11,4,Democrat,90
11,4,Republican,615
11,4,Swing,35
11,4,Unknown,23088
11,5,Democrat,306
11,5,Republican,1051
11,5,Swing,107
11,5,Unknown,25688
11,7,Democrat,46
11,7,Republican,514
11,7,Swing,8
11,7,Unknown,9257
11,8,Democrat,355
11,8,Republican,919
11,8,Swing,120
11,8,Unknown,23682
11,10,Democrat,10
11,10,Republican,195
11,10,Swing,1
11,10,Unknown,2320
11,11,Democrat,5466
11,11,Republican,14370
11,11,Swing,1053
11,11,Unknown,428441
11,14,Democrat,1923
11,14,Republican,567
11,14,Swing,229
11,14,Unknown,39253
11,18,Democrat,31
11,18,Republican,357
11,18,Swing,10
11,18,Unknown,7425
11,21,Democrat,442
11,21,Republican,78
11,21,Swing,27
11,21,Unknown,22076
11,22,Democrat,90
11,22,Republican,470
11,22,Swing,23
11,22,Unknown,10001
11,24,Democrat,53
11,24,Republican,106
11,24,Swing,13
11,24,Unknown,3597
11,25,Democrat,186
11,25,Republican,236
11,25,Swing,24
11,25,Unknown,5342
11,28,Democrat,62
11,28,Republican,777
11,28,Swing,37
11,28,Unknown,15051
11,29,Democrat,501
11,29,Republican,117
11,29,Swing,37
11,29,Unknown,13690
11,30,Democrat,60
11,30,Republican,236
11,30,Swing,19
11,30,Unknown,6460
11,31,Democrat,5
11,31,Republican,61
11,31,Swing,2
11,31,Unknown,4394
12,3,Democrat,49
12,3,Republican,358
12,3,Swing,12
12,3,Unknown,5645
12,12,Democrat,9838
12,12,Republican,21619
12,12,Swing,2230
12,12,Unknown,590623
13,0,Unknown,1
13,2,Democrat,449
13,2,Republican,1312
13,2,Swing,115
13,2,Unknown,32123
13,4,Democrat,211
13,4,Republican,2092
13,4,Swing,66
13,4,Unknown,43520
13,5,Democrat,1260
13,5,Republican,2409
13,5,Swing,269
13,5,Unknown,82758
13,7,Democrat,2
13,7,Republican,35
13,7,Swing,1
13,7,Unknown,2528
13,8,Democrat,1412
13,8,Republican,3496
13,8,Swing,361
13,8,Unknown,117183
13,10,Democrat,36
13,10,Republican,690
13,10,Swing,31
13,10,Unknown,11223
13,13,Democrat,16408
13,13,Republican,3230
13,13,Swing,545
13,13,Unknown,480991
13,14,Democrat,6180
