COUNTY,NEWHD,Democrat,Republican,Swing,Unknown,All
HARRIS,128,922,3281,155,109668,114026
HARRIS,129,2043,3541,254,130388,136226
HARRIS,130,1106,3713,165,132401,137385
HARRIS,131,2854,353,61,89433,92701
HARRIS,132,1408,2992,189,137365,141954
HARRIS,133,2063,4564,408,112397,119432
HARRIS,134,5308,3152,785,142045,151290
HARRIS,135,1229,1044,74,114740,117087
HARRIS,137,968,737,79,63231,65015
HARRIS,138,1827,3825,287,114072,120011
HARRIS,139,3594,908,131,109256,113889
HARRIS,140,653,272,19,73638,74582
HARRIS,141,1980,254,28,89112,91374
HARRIS,142,2342,487,79,99624,102532
HARRIS,143,1398,531,90,84908,86927
HARRIS,144,747,890,46,88452,90135
HARRIS,145,3026,740,230,106400,110396
HARRIS,146,4035,811,164,101676,106686
HARRIS,147,3875,476,154,120664,125169
HARRIS,148,1423,1388,128,96609,99548
HARRIS,149,1072,817,71,97764,99724
HARRIS,150,1112,3043,167,125025,129347
HARRISON,7,402,2567,103,44360,47432
HARTLEY,86,6,229,5,2613,2853
HASKELL,69,17,101,6,3327,3451
HAYS,0,0,0,0,6,6
HAYS,45,3201,2307,413,142829,148750
HAYS,73,1110,1750,201,34245,37306
HEMPHILL,88,5,268,6,2068,2347
HENDERSON,0,0,0,0,42,42
HENDERSON,4,193,1552,91,32836,34672
HENDERSON,8,142,1649,25,23214,25030
HIDALGO,35,1532,86,161,47739,49518
HIDALGO,36,2064,235,275,94296,96870
HIDALGO,39,2004,335,251,96095,98685
HIDALGO,40,3026,290,357,90925,94598
HIDALGO,41,2951,823,555,103161,107490
HILL,13,110,1320,43,25415,26888
HOCKLEY,88,26,831,19,13134,14010
HOOD,59,189,3790,132,47713,51824
HOPKINS,2,98,1308,44,24004,25454
HOUSTON,9,129,1019,29,12760,13937
HOWARD,72,52,793,27,16367,17239
HUDSPETH,74,36,61,51,2067,2215
HUNT,2,269,2841,116,69804,73030
HUTCHINSON,87,28,1034,14,12398,13474
IRION,72,2,133,8,1091,1234
JACK,68,10,550,15,5295,5870
JACKSON,30,30,623,10,9261,9924
JASPER,21,162,1712,107,22602,24583
JEFF DAVIS,74,39,187,48,1301,1575
JEFFERSON,21,694,1808,357,44314,47173
JEFFERSON,22,3843,1326,306,95547,101022
JIM HOGG,31,584,4,7,2963,3558
JIM WELLS,43,1440,247,171,24622,26480
JOHNSON,58,636,4856,167,123653,129312
JONES,71,26,395,13,10463,10897
KARNES,31,36,413,50,7968,8467
KAUFMAN,4,789,4187,222,103057,108255
KENDALL,19,324,2711,161,35892,39088
KENEDY,31,34,2,6,229,271
KENT,83,6,48,3,543,600
KERR,53,406,3492,134,36187,40219
KIMBLE,53,10,452,10,2854,3326
KING,69,0,22,0,143,165
KINNEY,74,22,286,38,1828,2174
KLEBERG,43,376,434,134,17797,18741
KNOX,69,4,57,2,2166,2229
LA SALLE,31,668,14,53,3482,4217
LAMAR,1,151,1862,106,31075,33194
LAMB,88,17,353,13,7519,7902
LAMPASAS,68,125,1153,50,15655,16983
LAVACA,30,48,1083,29,13334,14494
LEE,17,80,928,33,11160,12201
LEON,13,38,934,17,11693,12682
LIBERTY,18,208,3038,124,51331,54701
LIMESTONE,13,75,1066,56,13276,14473
LIPSCOMB,87,1,144,1,1676,1822
LIVE OAK,31,34,478,14,7269,7795
LLANO,53,203,1836,94,16364,18497
LOVING,81,5,9,6,109,129
LUBBOCK,0,0,2,0,46,48
LUBBOCK,83,447,5345,268,83659,89719
LUBBOCK,84,690,3337,211,103610,107848
LYNN,83,4,130,3,4252,4389
MADISON,12,16,763,25,7674,8478
MARION,7,53,366,16,7412,7847
MARTIN,82,1,312,5,3191,3509
MASON,53,20,393,25,2854,3292
MATAGORDA,30,172,1373,78,20822,22445
MAVERICK,74,2824,64,226,32837,35951
MCCULLOCH,53,14,579,15,4835,5443
MCLENNAN,13,324,446,25,30777,31572
MCLENNAN,56,936,5669,327,121339,128271
MCMULLEN,31,1,59,4,579,643
MEDINA,53,281,2232,78,36026,38617
MENARD,53,3,259,4,1253,1519
MIDLAND,82,268,4668,101,94239,99276
MILAM,17,122,1488,74,15540,17224
MILLS,68,10,635,11,2987,3643
MITCHELL,83,5,315,5,4213,4538
