County,Old_Republican,Old_Democrat,Old_Other,Old_Total,New_Republican,New_Democrat,New_Other,New_Total,Net_Republican_Change,Net_Democrat_Change,Net_Other_Change,Pct_Republican_Change,Pct_Democrat_Change
FANNIN,1485,96,23402,24983,1485,96,23401,24982,0,0,-1,0.0,0.0
FAYETTE,1801,141,16456,18398,1801,141,16456,18398,0,0,0,0.0,0.0
FISHER,117,19,2586,2722,117,19,2586,2722,0,0,0,0.0,0.0
FLOYD,354,5,3308,3667,354,5,3306,3665,0,0,-2,0.0,0.0
FOARD,52,7,749,808,52,7,749,808,0,0,0,0.0,0.0
FORT BEND,14062,11376,530324,555762,14062,11376,530324,555762,0,0,0,0.0,0.0
FRANKLIN,557,34,7044,7635,557,34,7044,7635,0,0,0,0.0,0.0
FREESTONE,897,85,12470,13452,897,85,12468,13450,0,0,-2,0.0,0.0
FRIO,83,707,8755,9545,83,707,8747,9537,0,0,-8,0.0,0.0
GAINES,583,11,9907,10501,583,11,9907,10501,0,0,0,0.0,0.0
GALVESTON,8867,2901,234607,246375,8864,2901,234582,246347,-3,0,-25,-0.03383331453704748,0.0
GARZA,227,6,2420,2653,227,6,2419,2652,0,0,-1,0.0,0.0
GILLESPIE,2280,252,19399,21931,2280,252,19398,21930,0,0,-1,0.0,0.0
GLASSCOCK,146,2,696,844,146,2,696,844,0,0,0,0.0,0.0
GOLIAD,616,33,5199,5848,616,33,5199,5848,0,0,0,0.0,0.0
GONZALES,962,42,12201,13205,962,42,12201,13205,0,0,0,0.0,0.0
GRAY,922,6,11426,12354,922,6,11423,12351,0,0,-3,0.0,0.0
GRAYSON,4743,502,95136,100381,4743,502,95136,100381,0,0,0,0.0,0.0
GREGG,3195,789,72471,76455,3193,787,72419,76399,-2,-2,-52,-0.06259780907668232,-0.25348542458808615
GRIMES,1057,109,19995,21161,1054,109,19846,21009,-3,0,-149,-0.28382213812677387,0.0
GUADALUPE,4587,1218,125178,130983,4587,1218,125178,130983,0,0,0,0.0,0.0
HALE,846,43,17411,18300,846,43,17352,18241,0,0,-59,0.0,0.0
HALL,78,6,1807,1891,78,6,1806,1890,0,0,-1,0.0,0.0
HAMILTON,561,25,5694,6280,561,25,5694,6280,0,0,0,0.0,0.0
HANSFORD,375,2,2633,3010,375,2,2633,3010,0,0,0,0.0,0.0
HARDEMAN,88,5,2302,2395,88,5,2302,2395,0,0,0,0.0,0.0
HARDIN,1383,76,41782,43241,1383,72,41758,43213,0,-4,-24,0.0,-5.263157894736842
