district,old_expected_republican_voters,old_expected_democrat_voters,old_net_advantage,old_advantage_party,new_republican_voters,new_democrat_voters,new_net_advantage,new_advantage_party,advantage_shift,shift_type
32,7103.072896991724,923.1902668839156,6179.882630107808,Republican,7098.0,770.0,6328.0,Republican,148.11736989219207,Republican → Republican
88,3254.493469549157,188.49991563372828,3065.9935539154285,Republican,3397.0,212.0,3185.0,Republican,119.00644608457151,Republican → Republican
69,1173.87052759248,126.5803517283202,1047.2901758641597,Republican,1189.0,38.0,1151.0,Republican,103.70982413584034,Republican → Republican
81,12092.893557826575,1439.0532335020416,10653.840324324534,Republican,12090.0,1337.0,10753.0,Republican,99.15967567546613,Republican → Republican
72,2072.4796584256255,161.288995786255,1911.1906626393707,Republican,2177.0,173.0,2004.0,Republican,92.80933736062934,Republican → Republican
36,10429.825140317807,3373.2084313339014,7056.6167089839055,Republican,10696.0,3552.0,7144.0,Republican,87.38329101609452,Republican → Republican
79,8067.237637745539,4835.267795084374,3231.969842661166,Republican,7950.0,4671.0,3279.0,Republican,47.030157338834215,Republican → Republican
6,31701.608045945475,5943.099873860696,25758.50817208478,Republican,32128.0,6332.0,25796.0,Republican,37.49182791521889,Republican → Republican
54,7571.173196509882,2788.3111279321984,4782.862068577683,Republican,7519.0,2730.0,4789.0,Republican,6.137931422316797,Republican → Republican
109,2536.0,11516.000000000002,-8980.000000000002,Democrat,2536.0,11516.0,-8980.0,Democrat,1.8189894035458565e-12,Democrat → Democrat
103,2335.9999999999995,4858.0,-2522.0000000000005,Democrat,2336.0,4858.0,-2522.0,Democrat,4.547473508864641e-13,Democrat → Democrat
105,3484.0,3182.0000000000005,301.99999999999955,Neutral/Competitive,3484.0,3182.0,302.0,Neutral/Competitive,4.547473508864641e-13,Neutral/Competitive → Neutral/Competitive
57,12825.0,3857.0,8968.0,Republican,12825.0,3857.0,8968.0,Republican,0.0,Republican → Republican
104,2057.0,3169.0,-1112.0,Democrat,2057.0,3169.0,-1112.0,Democrat,0.0,Democrat → Democrat
107,2501.0,3006.0,-505.0,Neutral/Competitive,2501.0,3006.0,-505.0,Neutral/Competitive,0.0,Neutral/Competitive → Neutral/Competitive
106,13595.0,4413.0,9182.0,Republican,13595.0,4413.0,9182.0,Republican,0.0,Republican → Republican
102,3631.0,4713.0,-1082.0,Democrat,3631.0,4713.0,-1082.0,Democrat,0.0,Democrat → Democrat
101,3630.0,5486.0,-1856.0,Democrat,3630.0,5486.0,-1856.0,Democrat,0.0,Democrat → Democrat
108,14343.0,9029.0,5314.0,Republican,14343.0,9029.0,5314.0,Republican,0.0,Republican → Republican
113,4378.0,5320.0,-942.0,Neutral/Competitive,4378.0,5320.0,-942.0,Neutral/Competitive,0.0,Neutral/Competitive → Neutral/Competitive
110,571.0,4832.0,-4261.0,Democrat,571.0,4832.0,-4261.0,Democrat,0.0,Democrat → Democrat
111,2730.0,11599.0,-8869.0,Democrat,2730.0,11599.0,-8869.0,Democrat,0.0,Democrat → Democrat
112,9451.0,6672.0,2779.0,Republican,9451.0,6672.0,2779.0,Republican,0.0,Republican → Republican
99,10561.0,3327.0,7234.0,Republican,10561.0,3327.0,7234.0,Republican,0.0,Republican → Republican
114,3678.0,7225.0,-3547.0,Democrat,3678.0,7225.0,-3547.0,Democrat,0.0,Democrat → Democrat
