COUNTY,2026_CD,Republican_Count,Democrat_Count,Other_Count,Total_Count,Republican_Pct,Democrat_Pct,Other_Pct
CAMERON,2.0,773,2935,136159,139867,0.552667891639915,2.098422072397349,97.34891003596273
CAMERON,8.0,529,2154,95958,98641,0.5362881560405917,2.183676159000821,97.28003568495859
CAMP,1.0,510,81,7857,8448,6.036931818181818,0.9588068181818182,93.00426136363636
CARSON,35.0,87,2,1977,2066,4.211035818005808,0.0968054211035818,95.6921587608906
CARSON,37.0,201,2,2030,2233,9.001343484102104,0.08956560680698611,90.9090909090909
CASS,1.0,1291,73,20498,21862,5.905223675784466,0.3339127252767359,93.7608635989388
CASTRO,18.0,32,3,1096,1131,2.829354553492484,0.2652519893899204,96.9053934571176
CASTRO,29.0,113,18,2206,2337,4.835258878904578,0.7702182284980745,94.39452289259734
CASTRO,36.0,11,0,223,234,4.700854700854701,0.0,95.2991452991453
CHAMBERS,2.0,240,4,1732,1976,12.145748987854251,0.20242914979757085,87.65182186234817
CHAMBERS,7.0,95,11,3366,3472,2.736175115207373,0.31682027649769584,96.94700460829493
CHAMBERS,9.0,410,21,6868,7299,5.617207836689957,0.2877106452938759,94.09508151801617
CHAMBERS,18.0,1013,59,14971,16043,6.314280371501589,0.36776164059091193,93.31795798790749
CHAMBERS,29.0,501,24,6304,6829,7.336359642700249,0.3514423780934251,92.31219797920632
CHAMBERS,36.0,118,7,1412,1537,7.677293428757319,0.4554326610279766,91.8672739102147
CHEROKEE,14.0,1677,164,23407,25248,6.642110266159696,0.6495564005069708,92.70833333333334
CHEROKEE,36.0,565,57,6433,7055,8.008504606661942,0.8079376328844791,91.18355776045358
CHILDRESS,23.0,276,4,3526,3806,7.251707829742513,0.10509721492380451,92.64319495533368
CLAY,16.0,563,13,7734,8310,6.77496991576414,0.15643802647412755,93.06859205776173
COCHRAN,21.0,35,2,794,831,4.21179302045728,0.24067388688327318,95.54753309265945
COCHRAN,35.0,27,0,820,847,3.187721369539551,0.0,96.81227863046044
COKE,25.0,172,3,2273,2448,7.026143790849673,0.12254901960784313,92.85130718954248
COLEMAN,4.0,622,16,5519,6157,10.10232255968816,0.25986681825564395,89.6378106220562
COLLIN,2.0,1114,458,35609,37181,2.996153949597913,1.231811946962158,95.77203410343994
COLLIN,7.0,3141,1207,101237,105585,2.974854382724819,1.1431548041862007,95.88199081308898
COLLIN,8.0,582,285,16980,17847,3.26105227769373,1.5969070432005377,95.14204067910573
COLLIN,9.0,2507,1011,88600,92118,2.7215093684187672,1.0975053735426301,96.1809852580386
COLLIN,18.0,5891,2552,180074,188517,3.1249171162282448,1.353724067325493,95.52135881644627
COLLIN,29.0,5162,2175,158103,165440,3.120164410058027,1.314676015473888,95.56515957446808
COLLIN,36.0,1436,638,44634,46708,3.074419799606063,1.3659330307441981,95.55964716964974
COLLIN,38.0,2870,1325,94179,98374,2.9174375343078456,1.346900603818082,95.73566186187408
COLLINGSWORTH,17.0,186,3,1700,1889,9.846479618845951,0.15881418740074113,89.9947061937533
COLORADO,13.0,1110,88,13625,14823,7.48836267961951,0.5936719962220873,91.9179653241584
COMAL,21.0,6466,1200,116925,124591,5.189780963311956,0.9631514314838151,93.84706760520423
COMAL,35.0,444,110,18872,19426,2.2855966230824665,0.5662514156285391,97.148151961289
COMANCHE,31.0,733,28,9296,10057,7.288455801929004,0.27841304563985286,92.43313115243114
CONCHO,11.0,141,6,1653,1800,7.833333333333334,0.33333333333333337,91.83333333333333
COOKE,26.0,1547,96,28617,30260,5.112359550561798,0.3172504957038995,94.5703899537343
CORYELL,31.0,1816,222,45070,47108,3.8549715547253123,0.4712575358750106,95.67377090939968
COTTLE,19.0,130,4,861,995,13.06532663316583,0.4020100502512563,86.53266331658291
CRANE,17.0,237,2,2438,2677,8.853193873739261,0.0747104968248039,91.07209562943594
CROCKETT,27.0,72,36,2188,2296,3.1358885017421603,1.5679442508710801,95.29616724738676
CROSBY,7.0,24,1,840,865,2.7745664739884393,0.11560693641618498,97.10982658959537
CROSBY,29.0,153,7,2611,2771,5.521472392638037,0.25261638397690367,94.22591122338505
CULBERSON,23.0,4,296,1404,1704,0.2347417840375587,17.370892018779344,82.3943661971831
DALLAM,19.0,116,2,2751,2869,4.043220634367375,0.06971070059254096,95.88706866504009
DALLAS,5.0,4827,4523,231960,241310,2.00033152376611,1.8743524926443162,96.12531598358957
DALLAS,6.0,1374,962,73461,75797,1.8127366518463792,1.2691795189783237,96.91808382917529
DALLAS,24.0,7276,5732,177099,190107,3.827318299694383,3.015144103057752,93.15753759724787
DALLAS,30.0,2512,17605,415669,435786,0.5764297155025632,4.039826887509006,95.38374339698844
DALLAS,32.0,4751,9735,335735,350221,1.35657199311292,2.7796734062206436,95.86375460066644
DALLAS,33.0,1019,3007,174535,178561,0.5706733273223156,1.6840183466714458,97.74530832600624
DAWSON,15.0,420,3,6366,6789,6.18647812638091,0.04418912947414936,93.76933274414495
DE WITT,19.0,713,38,10639,11390,6.259877085162422,0.33362598770851626,93.40649692712906
DEAF SMITH,23.0,521,15,8241,8777,5.935969009912271,0.17090121909536288,93.89312977099237
DELTA,15.0,390,9,3721,4120,9.466019417475728,0.2184466019417476,90.31553398058253
DENTON,4.0,1321,438,36322,38081,3.4689215094141432,1.150179879730049,95.38089861085581
DENTON,13.0,2761,1291,91405,95457,2.892401814429534,1.352441413411274,95.75515677215918
DENTON,26.0,14910,4902,490787,510599,2.9200997260080808,0.9600488837620128,96.11985139022991
DENTON,32.0,256,300,18655,19211,1.33256988183853,1.5616053302795272,97.10582478788194
DICKENS,23.0,148,5,1285,1438,10.292072322670375,0.34770514603616137,89.36022253129346
DIMMIT,6.0,13,933,5720,6666,0.19501950195019502,13.996399639963997,85.8085808580858
DONLEY,10.0,75,7,2328,2410,3.112033195020747,0.29045643153526973,96.59751037344398
DUVAL,16.0,13,919,7118,8050,0.16149068322981366,11.416149068322982,88.4223602484472
EASTLAND,17.0,886,22,11656,12564,7.051894301177969,0.17510347023241007,92.77300222858962
ECTOR,2.0,110,9,4495,4614,2.3840485478977027,0.1950585175552666,97.42089293454703
ECTOR,7.0,277,25,5287,5589,4.956163893361961,0.4473072105922347,94.59652889604581
ECTOR,8.0,66,10,2018,2094,3.151862464183381,0.4775549188156638,96.37058261700095
ECTOR,9.0,474,96,11035,11605,4.084446359327876,0.8272296423955192,95.0883239982766
ECTOR,18.0,719,51,19774,20544,3.4998052959501558,0.24824766355140185,96.25194704049844
ECTOR,29.0,741,57,19353,20151,3.6772368616942086,0.28286437397647757,96.03989876432931
ECTOR,36.0,138,16,10457,10611,1.300537178399774,0.1507869192347564,98.54867590236547
ECTOR,38.0,206,23,11352,11581,1.7787755806925136,0.19860115706761072,98.02262326223988
EDWARDS,27.0,139,5,1355,1499,9.272848565710474,0.333555703802535,90.393595730487
EL PASO,16.0,2904,11794,457296,471994,0.6152620584159968,2.4987605774649677,96.88597736411904
EL PASO,23.0,213,659,50827,51699,0.4120002321128068,1.27468616414244,98.31331360374476
ELLIS,2.0,901,179,16939,18019,5.000277484877074,0.9933958599256341,94.0063266551973
ELLIS,7.0,313,55,7994,8362,3.743123654628079,0.6577373834011002,95.59913896197082
ELLIS,8.0,415,143,10262,10820,3.8354898336414047,1.3216266173752311,94.84288354898337
ELLIS,9.0,763,190,20479,21432,3.560097051138485,0.8865248226950355,95.55337812616648
ELLIS,18.0,800,268,20262,21330,3.750586029067042,1.2564463197374591,94.9929676511955
ELLIS,22.0,25,59,3941,4025,0.6211180124223602,1.4658385093167703,97.91304347826087
ELLIS,29.0,606,219,18359,19184,3.1588824020016677,1.1415763135946622,95.69954128440367
ELLIS,36.0,1346,199,27390,28935,4.651805771556939,0.6877484015897702,94.66044582685329
ELLIS,38.0,470,152,15016,15638,3.005499424478834,0.9719913032357079,96.02250927228546
ERATH,25.0,2147,101,23800,26048,8.24247542997543,0.38774570024570026,91.36977886977887
FALLS,22.0,364,75,10154,10593,3.436231473614651,0.7080147267063155,95.85575379967904
FANNIN,31.0,1485,96,23401,24982,5.9442798815146904,0.38427667920903047,93.67144343927627
FAYETTE,10.0,1801,141,16456,18398,9.789107511686053,0.7663876508316121,89.44450483748233
FISHER,14.0,22,6,686,714,3.081232492997199,0.8403361344537815,96.07843137254902
FISHER,36.0,95,13,1900,2008,4.731075697211155,0.647410358565737,94.62151394422311
FLOYD,3.0,354,5,3303,3662,9.666848716548335,0.1365374112506827,90.19661387220098
FLOYD,4.0,0,0,3,3,0.0,0.0,100.0
FOARD,17.0,52,7,749,808,6.435643564356436,0.8663366336633664,92.69801980198021
FORT BEND,7.0,1948,2205,120917,125070,1.5575277844407132,1.7630127128807866,96.6794595026785
FORT BEND,9.0,789,4412,96533,101734,0.7755519295417461,4.336799889908979,94.88764818054928
FORT BEND,22.0,11325,4759,312874,328958,3.442688732300172,1.4466892430036662,95.11062202469616
FRANKLIN,19.0,557,34,7044,7635,7.295350360183366,0.4453176162409954,92.25933202357564
FREESTONE,15.0,423,61,7392,7876,5.37074657186389,0.7745048247841544,93.85474860335195
